date,sku,region,units_sold,ml_prediction,forecast_error,promotion,is_holiday
2025-07-01,BB1000,Central,529,513.7814,15.2186279296875,0,0
2025-07-01,BB1000,East,534,532.53705,1.46295166015625,0,0
2025-07-01,BB1000,North,643,583.10486,59.8951416015625,0,0
2025-07-01,BB1000,South,775,652.10864,122.891357421875,0,0
2025-07-01,BB1000,West,640,692.52484,-52.52484130859375,0,0
2025-07-01,BB250,Central,511,578.24554,-67.24554443359375,0,0
2025-07-01,BB250,East,669,650.9065,18.093505859375,0,0
2025-07-01,BB250,North,602,651.2012,-49.201171875,0,0
2025-07-01,BB250,South,645,756.24976,-111.249755859375,0,0
2025-07-01,BB250,West,738,774.7825,-36.782470703125,0,0
2025-07-01,BB500,Central,862,840.8929,21.10711669921875,0,0
2025-07-01,BB500,East,986,911.1075,74.89251708984375,0,0
2025-07-01,BB500,North,850,925.7608,-75.76080322265625,0,0
2025-07-01,BB500,South,1053,1022.77893,30.2210693359375,0,0
2025-07-01,BB500,West,1020,976.9227,43.0772705078125,0,0
2025-07-01,EN250,Central,380,383.52628,-3.526275634765625,0,0
2025-07-01,EN250,East,401,395.95068,5.04931640625,0,0
2025-07-01,EN250,North,395,388.90143,6.09857177734375,0,0
2025-07-01,EN250,South,474,440.96338,33.03662109375,0,0
2025-07-01,EN250,West,463,457.1337,5.866302490234375,0,0
2025-07-01,EN500,Central,258,272.79288,-14.792877197265625,0,0
2025-07-01,EN500,East,246,284.76053,-38.760528564453125,0,0
2025-07-01,EN500,North,296,312.99472,-16.994720458984375,0,0
2025-07-01,EN500,South,351,326.22614,24.77386474609375,0,0
2025-07-01,EN500,West,476,433.7333,42.266693115234375,1,0
2025-07-01,LM250,Central,434,478.22833,-44.22833251953125,0,0
2025-07-01,LM250,East,495,484.40405,10.595947265625,0,0
2025-07-01,LM250,North,514,501.3889,12.611114501953125,0,0
2025-07-01,LM250,South,607,536.70624,70.29376220703125,0,0
2025-07-01,LM250,West,556,564.0187,-8.0186767578125,0,0
2025-07-01,LM500,Central,565,665.5351,-100.53509521484375,0,0
2025-07-01,LM500,East,580,732.9462,-152.94622802734375,0,0
2025-07-01,LM500,North,708,736.34686,-28.34686279296875,0,0
2025-07-01,LM500,South,840,814.1498,25.8502197265625,0,0
2025-07-01,LM500,West,687,885.51733,-198.517333984375,0,0
2025-07-01,OR1000,Central,399,398.1483,0.851715087890625,0,0
2025-07-01,OR1000,East,366,401.35605,-35.356048583984375,0,0
2025-07-01,OR1000,North,443,431.1833,11.81671142578125,0,0
2025-07-01,OR1000,South,625,675.79364,-50.79364013671875,1,0
2025-07-01,OR1000,West,639,692.64923,-53.64923095703125,1,0
2025-07-01,OR500,Central,626,528.45465,97.54534912109375,0,0
2025-07-01,OR500,East,522,570.3807,-48.38067626953125,0,0
2025-07-01,OR500,North,649,646.04614,2.953857421875,0,0
2025-07-01,OR500,South,580,656.54614,-76.546142578125,0,0
2025-07-01,OR500,West,570,723.223,-153.2230224609375,0,0
2025-07-01,WT1000,Central,950,877.08606,72.9139404296875,0,0
2025-07-01,WT1000,East,889,882.19507,6.804931640625,0,0
2025-07-01,WT1000,North,1029,996.7706,32.2293701171875,0,0
2025-07-01,WT1000,South,978,961.6016,16.39837646484375,0,0
2025-07-01,WT1000,West,1172,1003.4343,168.565673828125,0,0
2025-07-02,BB1000,Central,504,523.0539,-19.05389404296875,0,0
2025-07-02,BB1000,East,642,531.95886,110.0411376953125,0,0
2025-07-02,BB1000,North,799,736.74854,62.25146484375,1,0
2025-07-02,BB1000,South,620,637.8067,-17.80670166015625,0,0
2025-07-02,BB1000,West,626,687.98303,-61.9830322265625,0,0
2025-07-02,BB250,Central,569,590.80457,-21.8045654296875,0,0
2025-07-02,BB250,East,583,636.0215,-53.021484375,0,0
2025-07-02,BB250,North,712,686.7956,25.20440673828125,0,0
2025-07-02,BB250,South,618,715.11285,-97.11285400390625,0,0
2025-07-02,BB250,West,686,764.2594,-78.2593994140625,0,0
2025-07-02,BB500,Central,847,837.366,9.63397216796875,0,0
2025-07-02,BB500,East,1066,950.0468,115.95318603515625,0,0
2025-07-02,BB500,North,964,979.7022,-15.70220947265625,0,0
2025-07-02,BB500,South,1109,1053.3766,55.6234130859375,0,0
2025-07-02,BB500,West,1043,951.08966,91.91033935546875,0,0
2025-07-02,EN250,Central,392,368.4333,23.56671142578125,0,0
2025-07-02,EN250,East,376,398.71857,-22.71856689453125,0,0
2025-07-02,EN250,North,435,390.51572,44.484283447265625,0,0
2025-07-02,EN250,South,564,584.7588,-20.7587890625,1,0
2025-07-02,EN250,West,452,455.3765,-3.376495361328125,0,0
2025-07-02,EN500,Central,296,263.83722,32.16278076171875,0,0
2025-07-02,EN500,East,221,275.93442,-54.934417724609375,0,0
2025-07-02,EN500,North,270,299.40344,-29.4034423828125,0,0
2025-07-02,EN500,South,385,318.5282,66.4718017578125,0,0
2025-07-02,EN500,West,344,331.44577,12.554229736328125,0,0
2025-07-02,LM250,Central,473,479.80478,-6.804779052734375,0,0
2025-07-02,LM250,East,481,486.4397,-5.439697265625,0,0
2025-07-02,LM250,North,532,465.78506,66.21493530273438,0,0
2025-07-02,LM250,South,598,522.8374,75.16259765625,0,0
2025-07-02,LM250,West,730,555.9668,174.033203125,0,0
2025-07-02,LM500,Central,603,657.9387,-54.938720703125,0,0
2025-07-02,LM500,East,605,708.7882,-103.7882080078125,0,0
2025-07-02,LM500,North,859,1021.85767,-162.857666015625,1,0
2025-07-02,LM500,South,792,808.9573,-16.957275390625,0,0
2025-07-02,LM500,West,774,873.33264,-99.3326416015625,0,0
2025-07-02,OR1000,Central,364,391.00195,-27.001953125,0,0
2025-07-02,OR1000,East,393,401.8677,-8.867706298828125,0,0
2025-07-02,OR1000,North,494,427.77362,66.22637939453125,0,0
2025-07-02,OR1000,South,525,522.575,2.42498779296875,0,0
2025-07-02,OR1000,West,572,519.84796,52.15203857421875,0,0
2025-07-02,OR500,Central,575,521.2592,53.74078369140625,0,0
2025-07-02,OR500,East,619,584.9361,34.06390380859375,0,0
2025-07-02,OR500,North,605,634.709,-29.708984375,0,0
2025-07-02,OR500,South,654,664.00604,-10.00604248046875,0,0
2025-07-02,OR500,West,654,712.0278,-58.02777099609375,0,0
2025-07-02,WT1000,Central,1044,887.6723,156.32769775390625,0,0
2025-07-02,WT1000,East,1104,924.2465,179.75347900390625,0,0
2025-07-02,WT1000,North,1017,937.3859,79.61407470703125,0,0
2025-07-02,WT1000,South,1112,1038.5913,73.40869140625,0,0
2025-07-02,WT1000,West,1189,912.72296,276.27703857421875,0,0
2025-07-03,BB1000,Central,502,510.99176,-8.99176025390625,0,0
2025-07-03,BB1000,East,811,764.74335,46.25665283203125,1,0
2025-07-03,BB1000,North,629,603.21405,25.78594970703125,0,0
2025-07-03,BB1000,South,642,650.783,-8.78302001953125,0,0
2025-07-03,BB1000,West,759,659.4685,99.531494140625,0,0
2025-07-03,BB250,Central,595,557.3694,37.630615234375,0,0
2025-07-03,BB250,East,504,612.1849,-108.18487548828125,0,0
2025-07-03,BB250,North,616,652.6292,-36.62921142578125,0,0
2025-07-03,BB250,South,725,726.3903,-1.39031982421875,0,0
2025-07-03,BB250,West,787,798.8384,-11.83837890625,0,0
2025-07-03,BB500,Central,740,904.3601,-164.360107421875,0,0
2025-07-03,BB500,East,946,931.334,14.666015625,0,0
2025-07-03,BB500,North,878,931.3588,-53.35882568359375,0,0
2025-07-03,BB500,South,996,978.94574,17.05426025390625,0,0
2025-07-03,BB500,West,1408,1502.8221,-94.8221435546875,1,0
2025-07-03,EN250,Central,333,362.88882,-29.888824462890625,0,0
2025-07-03,EN250,East,366,386.81085,-20.81085205078125,0,0
2025-07-03,EN250,North,374,388.67285,-14.6728515625,0,0
2025-07-03,EN250,South,444,453.48093,-9.480926513671875,0,0
2025-07-03,EN250,West,413,454.07098,-41.07098388671875,0,0
2025-07-03,EN500,Central,308,338.67087,-30.670867919921875,1,0
2025-07-03,EN500,East,238,266.11737,-28.11737060546875,0,0
2025-07-03,EN500,North,296,298.76202,-2.76202392578125,0,0
2025-07-03,EN500,South,288,325.75745,-37.7574462890625,0,0
2025-07-03,EN500,West,396,332.95117,63.048828125,0,0
2025-07-03,LM250,Central,510,495.5091,14.49090576171875,0,0
2025-07-03,LM250,East,449,482.16724,-33.167236328125,0,0
2025-07-03,LM250,North,534,477.2494,56.7506103515625,0,0
2025-07-03,LM250,South,624,512.96313,111.036865234375,0,0
2025-07-03,LM250,West,626,544.11035,81.8896484375,0,0
2025-07-03,LM500,Central,750,653.5198,96.480224609375,0,0
2025-07-03,LM500,East,664,769.18365,-105.18365478515625,0,0
2025-07-03,LM500,North,796,781.3885,14.61151123046875,0,0
2025-07-03,LM500,South,762,828.03296,-66.032958984375,0,0
2025-07-03,LM500,West,718,909.99457,-191.99456787109375,0,0
2025-07-03,OR1000,Central,322,397.93176,-75.9317626953125,0,0
2025-07-03,OR1000,East,386,406.68723,-20.687225341796875,0,0
2025-07-03,OR1000,North,459,422.34616,36.653839111328125,0,0
2025-07-03,OR1000,South,461,515.5398,-54.539794921875,0,0
2025-07-03,OR1000,West,460,528.8571,-68.85711669921875,0,0
2025-07-03,OR500,Central,469,526.5665,-57.5665283203125,0,0
2025-07-03,OR500,East,572,558.9296,13.07037353515625,0,0
2025-07-03,OR500,North,620,597.9974,22.00262451171875,0,0
2025-07-03,OR500,South,653,666.3588,-13.35882568359375,0,0
2025-07-03,OR500,West,681,741.1009,-60.10089111328125,0,0
2025-07-03,WT1000,Central,924,894.39435,29.60565185546875,0,0
2025-07-03,WT1000,East,1058,909.89044,148.10955810546875,0,0
2025-07-03,WT1000,North,866,930.9591,-64.9591064453125,0,0
2025-07-03,WT1000,South,1032,1047.3661,-15.3660888671875,0,0
2025-07-03,WT1000,West,1281,1102.0505,178.949462890625,0,0
2025-07-04,BB1000,Central,552,510.97806,41.021942138671875,0,0
2025-07-04,BB1000,East,623,534.1917,88.80828857421875,0,0
2025-07-04,BB1000,North,629,594.0324,34.96759033203125,0,0
2025-07-04,BB1000,South,685,664.8216,20.17840576171875,0,0
2025-07-04,BB1000,West,549,666.1827,-117.18267822265625,0,0
2025-07-04,BB250,Central,670,537.22095,132.779052734375,0,0
2025-07-04,BB250,East,623,621.93634,1.06365966796875,0,0
2025-07-04,BB250,North,686,628.89355,57.1064453125,0,0
2025-07-04,BB250,South,639,732.07336,-93.0733642578125,0,0
2025-07-04,BB250,West,640,786.6878,-146.68780517578125,0,0
2025-07-04,BB500,Central,970,881.5247,88.47528076171875,0,0
2025-07-04,BB500,East,949,1188.5226,-239.5225830078125,1,0
2025-07-04,BB500,North,844,990.8888,-146.8887939453125,0,0
2025-07-04,BB500,South,1051,1009.8858,41.11419677734375,0,0
2025-07-04,BB500,West,1231,1008.8841,222.11590576171875,0,0
2025-07-04,EN250,Central,395,354.9995,40.00048828125,0,0
2025-07-04,EN250,East,390,393.67557,-3.675567626953125,0,0
2025-07-04,EN250,North,433,382.87012,50.1298828125,0,0
2025-07-04,EN250,South,449,437.06717,11.932830810546875,0,0
2025-07-04,EN250,West,442,458.9027,-16.9027099609375,0,0
2025-07-04,EN500,Central,193,265.87338,-72.87338256835938,0,0
2025-07-04,EN500,East,296,270.36655,25.633453369140625,0,0
2025-07-04,EN500,North,295,375.98608,-80.986083984375,1,0
2025-07-04,EN500,South,346,316.98444,29.01556396484375,0,0
2025-07-04,EN500,West,318,342.3591,-24.359100341796875,0,0
2025-07-04,LM250,Central,593,638.9369,-45.9368896484375,1,0
2025-07-04,LM250,East,490,502.75873,-12.75872802734375,0,0
2025-07-04,LM250,North,496,477.5836,18.416412353515625,0,0
2025-07-04,LM250,South,595,513.18567,81.8143310546875,0,0
2025-07-04,LM250,West,621,575.7024,45.297607421875,0,0
2025-07-04,LM500,Central,667,630.7756,36.22442626953125,0,0
2025-07-04,LM500,East,829,750.87024,78.1297607421875,0,0
2025-07-04,LM500,North,581,764.0368,-183.03680419921875,0,0
2025-07-04,LM500,South,807,801.2855,5.7144775390625,0,0
2025-07-04,LM500,West,825,875.0943,-50.09429931640625,0,0
2025-07-04,OR1000,Central,359,387.12762,-28.12762451171875,0,0
2025-07-04,OR1000,East,464,393.92044,70.07955932617188,0,0
2025-07-04,OR1000,North,403,427.73685,-24.736846923828125,0,0
2025-07-04,OR1000,South,522,505.27087,16.7291259765625,0,0
2025-07-04,OR1000,West,563,513.97736,49.02264404296875,0,0
2025-07-04,OR500,Central,524,531.07,-7.07000732421875,0,0
2025-07-04,OR500,East,580,575.8093,4.190673828125,0,0
2025-07-04,OR500,North,697,588.8634,108.1365966796875,0,0
2025-07-04,OR500,South,586,655.79816,-69.79815673828125,0,0
2025-07-04,OR500,West,728,706.60345,21.39654541015625,0,0
2025-07-04,WT1000,Central,840,896.2368,-56.23681640625,0,0
2025-07-04,WT1000,East,952,900.8548,51.14520263671875,0,0
2025-07-04,WT1000,North,916,985.92816,-69.92816162109375,0,0
2025-07-04,WT1000,South,1019,1034.1992,-15.19921875,0,0
2025-07-04,WT1000,West,841,969.1563,-128.15631103515625,0,0
2025-07-05,BB1000,Central,594,596.2363,-2.236328125,0,0
2025-07-05,BB1000,East,600,642.06305,-42.06304931640625,0,0
2025-07-05,BB1000,North,734,697.14276,36.85723876953125,0,0
2025-07-05,BB1000,South,582,730.89716,-148.89715576171875,0,0
2025-07-05,BB1000,West,657,742.77673,-85.7767333984375,0,0
2025-07-05,BB250,Central,785,654.0599,130.94012451171875,0,0
2025-07-05,BB250,East,812,709.9046,102.09539794921875,0,0
2025-07-05,BB250,North,843,749.8043,93.1956787109375,0,0
2025-07-05,BB250,South,869,791.23645,77.7635498046875,0,0
2025-07-05,BB250,West,990,1100.0823,-110.082275390625,1,0
2025-07-05,BB500,Central,986,959.4561,26.54388427734375,0,0
2025-07-05,BB500,East,1122,1030.8856,91.1143798828125,0,0
2025-07-05,BB500,North,1023,1039.1942,-16.1942138671875,0,0
2025-07-05,BB500,South,1136,1183.3619,-47.3619384765625,0,0
2025-07-05,BB500,West,1284,1095.0367,188.9632568359375,0,0
2025-07-05,EN250,Central,423,425.8905,-2.8905029296875,0,0
2025-07-05,EN250,East,472,455.6993,16.300689697265625,0,0
2025-07-05,EN250,North,442,445.87503,-3.875030517578125,0,0
2025-07-05,EN250,South,560,532.21387,27.7861328125,0,0
2025-07-05,EN250,West,555,524.20966,30.79034423828125,0,0
2025-07-05,EN500,Central,305,290.187,14.81298828125,0,0
2025-07-05,EN500,East,366,306.56174,59.438262939453125,0,0
2025-07-05,EN500,North,370,364.5194,5.4805908203125,0,0
2025-07-05,EN500,South,406,364.8571,41.142913818359375,0,0
2025-07-05,EN500,West,297,396.92053,-99.9205322265625,0,0
2025-07-05,LM250,Central,590,544.512,45.48797607421875,0,0
2025-07-05,LM250,East,490,578.644,-88.64398193359375,0,0
2025-07-05,LM250,North,676,558.1812,117.81878662109375,0,0
2025-07-05,LM250,South,737,625.52423,111.47576904296875,0,0
2025-07-05,LM250,West,668,685.3559,-17.35589599609375,0,0
2025-07-05,LM500,Central,730,721.4955,8.5045166015625,0,0
2025-07-05,LM500,East,709,831.9571,-122.95709228515625,0,0
2025-07-05,LM500,North,802,827.89734,-25.8973388671875,0,0
2025-07-05,LM500,South,897,902.6095,-5.6094970703125,0,0
2025-07-05,LM500,West,896,944.3041,-48.3040771484375,0,0
