plant_id,warehouse_id,sku,shipment_cases,transport_cost_per_case,handling_cost_per_case,week_start,distribution_cost
P01,WH_Delhi,BB1000,327.18034,2.0,1.2,2025-06-30,1046.977088
P01,WH_Delhi,BB250,171.71708,2.0,1.2,2025-06-30,549.4946560000001
P01,WH_Delhi,BB500,256.82505,2.0,1.2,2025-06-30,821.84016
P01,WH_Delhi,EN250,101.95322,2.0,1.2,2025-06-30,326.250304
P01,WH_Delhi,EN500,82.808595,2.0,1.2,2025-06-30,264.987504
P01,WH_Delhi,LM250,126.91601,2.0,1.2,2025-06-30,406.131232
P01,WH_Delhi,LM500,207.69915,2.0,1.2,2025-06-30,664.63728
P01,WH_Delhi,OR1000,228.25087,2.0,1.2,2025-06-30,730.402784
P01,WH_Delhi,OR500,163.1059,2.0,1.2,2025-06-30,521.93888
P01,WH_Delhi,WT1000,504.84177,2.0,1.2,2025-06-30,1615.493664
P02,WH_Mumbai,BB1000,371.78098,5.0,1.4,2025-06-30,2379.398272
P02,WH_Mumbai,BB250,211.24606,5.0,1.4,2025-06-30,1351.974784
P02,WH_Mumbai,BB500,276.87661,5.0,1.4,2025-06-30,1772.0103040000004
P02,WH_Mumbai,EN250,120.32269,5.0,1.4,2025-06-30,770.065216
P02,WH_Mumbai,EN500,92.6841,5.0,1.4,2025-06-30,593.1782400000001
P02,WH_Mumbai,LM250,150.70637,5.0,1.4,2025-06-30,964.520768
P02,WH_Mumbai,LM500,222.94114,5.0,1.4,2025-06-30,1426.823296
P02,WH_Mumbai,OR1000,303.16239,5.0,1.4,2025-06-30,1940.2392960000002
P02,WH_Mumbai,OR500,199.43583,5.0,1.4,2025-06-30,1276.3893120000002
P02,WH_Mumbai,WT1000,536.40882,5.0,1.4,2025-06-30,3433.0164480000003
P02,WH_Bangalore,BB1000,339.18045,2.0,1.3,2025-06-30,1119.2954849999999
P02,WH_Bangalore,BB250,197.62397,2.0,1.3,2025-06-30,652.159101
P02,WH_Bangalore,BB500,267.15542,2.0,1.3,2025-06-30,881.6128859999999
P02,WH_Bangalore,EN250,123.64809,2.0,1.3,2025-06-30,408.03869699999996
P02,WH_Bangalore,EN500,84.412311,2.0,1.3,2025-06-30,278.56062629999997
P02,WH_Bangalore,LM250,148.50207,2.0,1.3,2025-06-30,490.056831
P02,WH_Bangalore,LM500,219.58873,2.0,1.3,2025-06-30,724.6428089999999
P02,WH_Bangalore,OR1000,280.90435,2.0,1.3,2025-06-30,926.984355
P02,WH_Bangalore,OR500,181.76564,2.0,1.3,2025-06-30,599.826612
P02,WH_Bangalore,WT1000,544.66684,2.0,1.3,2025-06-30,1797.4005719999998
P02,WH_Hyderabad,BB1000,150.99071,3.5,1.15,2025-06-30,702.1068015000001
P02,WH_Hyderabad,BB250,80.848225,3.5,1.15,2025-06-30,375.94424625000005
P02,WH_Hyderabad,BB500,122.13891,3.5,1.15,2025-06-30,567.9459315
P02,WH_Hyderabad,EN250,55.025451,3.5,1.15,2025-06-30,255.86834715
P02,WH_Hyderabad,EN500,42.23059,3.5,1.15,2025-06-30,196.37224350000002
P02,WH_Hyderabad,LM250,79.641998,3.5,1.15,2025-06-30,370.33529070000003
P02,WH_Hyderabad,LM500,94.980012,3.5,1.15,2025-06-30,441.6570558
P02,WH_Hyderabad,OR1000,114.69646,3.5,1.15,2025-06-30,533.3385390000001
P02,WH_Hyderabad,OR500,83.263245,3.5,1.15,2025-06-30,387.17408925
P02,WH_Hyderabad,WT1000,249.70705,3.5,1.15,2025-06-30,1161.1377825000002
P03,WH_Kolkata,BB1000,302.87977,2.0,1.1,2025-06-30,938.9272870000001
P03,WH_Kolkata,BB250,164.45878,2.0,1.1,2025-06-30,509.82221799999996
P03,WH_Kolkata,BB500,251.03673,2.0,1.1,2025-06-30,778.2138630000001
P03,WH_Kolkata,EN250,103.28434,2.0,1.1,2025-06-30,320.18145400000003
P03,WH_Kolkata,EN500,71.15828,2.0,1.1,2025-06-30,220.59066800000002
P03,WH_Kolkata,LM250,130.06263,2.0,1.1,2025-06-30,403.19415300000003
P03,WH_Kolkata,LM500,191.86245,2.0,1.1,2025-06-30,594.773595
P03,WH_Kolkata,OR1000,211.30614,2.0,1.1,2025-06-30,655.049034
P03,WH_Kolkata,OR500,151.03891,2.0,1.1,2025-06-30,468.220621
P03,WH_Kolkata,WT1000,488.93634,2.0,1.1,2025-06-30,1515.702654
P03,WH_Hyderabad,BB1000,118.55,3.0,1.15,2025-06-30,491.9825
P03,WH_Hyderabad,BB250,69.316669,3.0,1.15,2025-06-30,287.66417635000005
P03,WH_Hyderabad,BB500,101.175,3.0,1.15,2025-06-30,419.87625
P03,WH_Hyderabad,EN250,41.38333,3.0,1.15,2025-06-30,171.74081950000001
P03,WH_Hyderabad,EN500,29.175,3.0,1.15,2025-06-30,121.07625000000002
P03,WH_Hyderabad,LM250,52.375004,3.0,1.15,2025-06-30,217.3562666
P03,WH_Hyderabad,LM500,74.516662,3.0,1.15,2025-06-30,309.2441473
P03,WH_Hyderabad,OR1000,89.8,3.0,1.15,2025-06-30,372.67
P03,WH_Hyderabad,OR500,63.349998,3.0,1.15,2025-06-30,262.90249170000004
P03,WH_Hyderabad,WT1000,208.26667,3.0,1.15,2025-06-30,864.3066805000001
P01,WH_Delhi,BB1000,385.39968,2.0,1.2,2025-07-07,1233.278976
P01,WH_Delhi,BB250,199.50212,2.0,1.2,2025-07-07,638.406784
P01,WH_Delhi,BB500,290.82356,2.0,1.2,2025-07-07,930.635392
P01,WH_Delhi,EN250,117.78304,2.0,1.2,2025-07-07,376.905728
