date,sku,region,units_sold,price,promotion,is_holiday,year,month,week,day_of_week,day_of_year,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_28
2023-01-29,BB1000,Central,458,55.0,0,0,2023,1,4,6,29,1,371.0,506.0,437.0,432.0,411.2857142857143,391.14285714285717,386.07142857142856,50.32923351325497
2023-01-30,BB1000,Central,312,55.0,0,0,2023,1,5,0,30,0,458.0,402.0,366.0,327.0,404.42857142857144,392.64285714285717,387.0,51.43568439935092
2023-01-31,BB1000,Central,351,55.0,0,0,2023,1,5,1,31,0,312.0,376.0,348.0,451.0,391.57142857142856,388.7857142857143,386.4642857142857,52.15680215064965
2023-02-01,BB1000,Central,385,55.0,0,0,2023,2,5,2,32,0,351.0,331.0,371.0,363.0,388.0,389.0,382.89285714285717,50.984630426066055
2023-02-02,BB1000,Central,348,55.0,0,0,2023,2,5,3,33,0,385.0,479.0,292.0,357.0,395.7142857142857,390.0,383.67857142857144,50.83601346044225
2023-02-03,BB1000,Central,361,55.0,0,0,2023,2,5,4,34,0,348.0,414.0,320.0,385.0,377.0,394.0,383.35714285714283,51.03899328923756
2023-02-04,BB1000,Central,380,55.0,0,0,2023,2,5,5,35,1,361.0,371.0,463.0,356.0,369.42857142857144,396.92857142857144,382.5,51.211616159125754
2023-02-05,BB1000,Central,407,55.0,0,0,2023,2,5,6,36,1,380.0,458.0,506.0,414.0,370.7142857142857,391.0,383.35714285714283,50.951839486812915
2023-02-06,BB1000,Central,413,55.0,0,0,2023,2,6,0,37,0,407.0,312.0,402.0,354.0,363.42857142857144,383.92857142857144,383.10714285714283,50.81290247762923
2023-02-07,BB1000,Central,413,55.0,0,0,2023,2,6,1,38,0,413.0,351.0,376.0,334.0,377.85714285714283,384.7142857142857,385.2142857142857,50.78448081907989
2023-02-08,BB1000,Central,536,49.5,1,0,2023,2,6,2,39,0,413.0,385.0,331.0,396.0,386.7142857142857,387.35714285714283,388.0357142857143,50.022574269103124
2023-02-09,BB1000,Central,458,49.5,1,0,2023,2,6,3,40,0,536.0,348.0,479.0,392.0,408.2857142857143,402.0,393.0357142857143,57.31361556472014
2023-02-10,BB1000,Central,335,55.0,0,0,2023,2,6,4,41,0,458.0,361.0,414.0,372.0,424.0,400.5,395.39285714285717,58.61193108581619
2023-02-11,BB1000,Central,462,55.0,0,0,2023,2,6,5,42,1,335.0,380.0,371.0,401.0,420.2857142857143,394.85714285714283,394.07142857142856,59.56815490986002
2023-02-12,BB1000,Central,518,55.0,0,0,2023,2,6,6,43,1,462.0,407.0,458.0,437.0,432.0,401.35714285714283,396.25,60.93081990926115
2023-02-13,BB1000,Central,416,55.0,0,0,2023,2,7,0,44,0,518.0,413.0,312.0,366.0,447.85714285714283,405.64285714285717,399.14285714285717,64.74091630017485
2023-02-14,BB1000,Central,436,55.0,0,0,2023,2,7,1,45,0,416.0,413.0,351.0,348.0,448.2857142857143,413.07142857142856,400.92857142857144,64.48194037806738
2023-02-15,BB1000,Central,379,55.0,0,0,2023,2,7,2,46,0,436.0,536.0,385.0,371.0,451.57142857142856,419.14285714285717,404.07142857142856,63.949012427684856
2023-02-16,BB1000,Central,403,55.0,0,0,2023,2,7,3,47,0,379.0,458.0,348.0,292.0,429.14285714285717,418.7142857142857,404.35714285714283,63.81350970730275
2023-02-17,BB1000,Central,361,55.0,0,0,2023,2,7,4,48,0,403.0,335.0,361.0,320.0,421.2857142857143,422.64285714285717,408.32142857142856,59.90304114670923
2023-02-18,BB1000,Central,428,55.0,0,0,2023,2,7,5,49,1,361.0,462.0,380.0,463.0,425.0,422.64285714285717,409.7857142857143,58.13926902855422
2023-02-19,BB1000,Central,511,55.0,0,0,2023,2,7,6,50,1,428.0,518.0,407.0,506.0,420.14285714285717,426.07142857142856,408.5357142857143,57.323308001297704
2023-02-20,BB1000,Central,353,55.0,0,0,2023,2,8,0,51,0,511.0,416.0,413.0,402.0,419.14285714285717,433.5,408.7142857142857,57.645055130100985
2023-02-21,BB1000,Central,288,55.0,0,0,2023,2,8,1,52,0,353.0,436.0,413.0,376.0,410.14285714285717,429.2142857142857,406.9642857142857,58.59242912973273
2023-02-22,BB1000,Central,297,55.0,0,0,2023,2,8,2,53,0,288.0,379.0,536.0,331.0,389.0,420.2857142857143,403.82142857142856,62.5418695733942
2023-02-23,BB1000,Central,330,55.0,0,0,2023,2,8,3,54,0,297.0,403.0,458.0,479.0,377.2857142857143,403.2142857142857,402.60714285714283,64.31308794035071
2023-02-24,BB1000,Central,354,55.0,0,0,2023,2,8,4,55,0,330.0,361.0,335.0,414.0,366.85714285714283,394.07142857142856,397.2857142857143,63.92116507007166
2023-02-25,BB1000,Central,444,55.0,0,0,2023,2,8,5,56,1,354.0,428.0,462.0,371.0,365.85714285714283,395.42857142857144,395.14285714285717,64.34439414743964
2023-02-26,BB1000,Central,489,55.0,0,0,2023,2,8,6,57,1,444.0,511.0,518.0,458.0,368.14285714285717,394.14285714285717,397.75,64.80719267351601
2023-02-27,BB1000,Central,366,55.0,0,0,2023,2,9,0,58,0,489.0,353.0,416.0,312.0,365.0,392.07142857142856,398.85714285714283,66.12598205429926
2023-02-28,BB1000,Central,473,49.5,1,0,2023,2,9,1,59,0,366.0,288.0,436.0,351.0,366.85714285714283,388.5,400.7857142857143,64.26009483621847
2023-03-01,BB1000,Central,469,55.0,0,0,2023,3,9,2,60,0,473.0,297.0,379.0,385.0,393.2857142857143,391.14285714285717,405.14285714285717,64.89234063443755
2023-03-02,BB1000,Central,383,55.0,0,0,2023,3,9,3,61,0,469.0,330.0,403.0,348.0,417.85714285714283,397.57142857142856,408.14285714285717,65.86108516933608
2023-03-03,BB1000,Central,448,55.0,0,0,2023,3,9,4,62,0,383.0,354.0,361.0,361.0,425.42857142857144,396.14285714285717,409.39285714285717,65.00389691208223
2023-03-04,BB1000,Central,428,55.0,0,0,2023,3,9,5,63,1,448.0,444.0,428.0,380.0,438.85714285714283,402.35714285714283,412.5,64.68356022176702
2023-03-05,BB1000,Central,590,49.5,1,0,2023,3,9,6,64,1,428.0,489.0,511.0,407.0,436.57142857142856,402.35714285714283,414.2142857142857,64.42587307668497
2023-03-06,BB1000,Central,449,55.0,0,0,2023,3,10,0,65,0,590.0,366.0,353.0,413.0,451.0,408.0,420.75,72.44953543802183
2023-03-07,BB1000,Central,491,55.0,0,0,2023,3,10,1,66,0,449.0,473.0,288.0,413.0,462.85714285714283,414.85714285714283,422.0357142857143,72.62612637890187
2023-03-08,BB1000,Central,421,55.0,0,0,2023,3,10,2,67,0,491.0,469.0,297.0,536.0,465.42857142857144,429.35714285714283,424.82142857142856,73.75387174842817
2023-03-09,BB1000,Central,389,55.0,0,0,2023,3,10,3,68,0,421.0,383.0,330.0,458.0,458.57142857142856,438.2142857142857,420.7142857142857,70.46189258654852
2023-03-10,BB1000,Central,409,55.0,0,0,2023,3,10,4,69,0,389.0,448.0,354.0,335.0,459.42857142857144,442.42857142857144,418.25,70.31601945924264
2023-03-11,BB1000,Central,589,49.5,1,0,2023,3,10,5,70,1,409.0,428.0,444.0,462.0,453.85714285714283,446.35714285714283,420.89285714285717,68.43669109352587
2023-03-12,BB1000,Central,459,55.0,0,0,2023,3,10,6,71,1,589.0,590.0,489.0,518.0,476.85714285714283,456.7142857142857,425.42857142857144,75.14205242291452
2023-03-13,BB1000,Central,471,55.0,0,0,2023,3,11,0,72,0,459.0,449.0,366.0,416.0,458.14285714285717,454.57142857142856,423.32142857142856,73.25351897573273
2023-03-14,BB1000,Central,459,55.0,0,0,2023,3,11,1,73,0,471.0,491.0,473.0,436.0,461.2857142857143,462.07142857142856,425.2857142857143,73.78540312477601
2023-03-15,BB1000,Central,411,55.0,0,0,2023,3,11,2,74,0,459.0,421.0,469.0,379.0,456.7142857142857,461.07142857142856,426.10714285714283,74.03669724996202
2023-03-16,BB1000,Central,380,55.0,0,0,2023,3,11,3,75,0,411.0,389.0,383.0,403.0,455.2857142857143,456.92857142857144,427.25,73.52783549508706
2023-03-17,BB1000,Central,428,55.0,0,0,2023,3,11,4,76,0,380.0,409.0,448.0,361.0,454.0,456.7142857142857,426.42857142857144,73.93612286663574
2023-03-18,BB1000,Central,636,49.5,1,0,2023,3,11,5,77,1,428.0,589.0,428.0,428.0,456.7142857142857,455.2857142857143,428.82142857142856,72.81587818877219
2023-03-19,BB1000,Central,485,55.0,0,0,2023,3,11,6,78,1,636.0,459.0,590.0,511.0,463.42857142857144,470.14285714285717,436.25,82.67187483593725
2023-03-20,BB1000,Central,382,55.0,0,0,2023,3,12,0,79,0,485.0,471.0,449.0,353.0,467.14285714285717,462.64285714285717,435.32142857142856,81.9439978465096
2023-03-21,BB1000,Central,373,55.0,0,0,2023,3,12,1,80,0,382.0,459.0,491.0,288.0,454.42857142857144,457.85714285714283,436.35714285714283,81.04329628671245
2023-03-22,BB1000,Central,393,55.0,0,0,2023,3,12,2,81,0,373.0,411.0,421.0,297.0,442.14285714285717,449.42857142857144,439.39285714285717,76.75904544873549
2023-03-23,BB1000,Central,433,55.0,0,0,2023,3,12,3,82,0,393.0,380.0,389.0,330.0,439.57142857142856,447.42857142857144,442.82142857142856,72.17009413027301
2023-03-24,BB1000,Central,383,55.0,0,0,2023,3,12,4,83,0,433.0,428.0,409.0,354.0,447.14285714285717,450.57142857142856,446.5,68.75048821375458
2023-03-25,BB1000,Central,500,55.0,0,0,2023,3,12,5,84,1,383.0,636.0,589.0,444.0,440.7142857142857,448.7142857142857,447.5357142857143,67.51267762584754
2023-03-26,BB1000,Central,530,55.0,0,0,2023,3,12,6,85,1,500.0,485.0,459.0,489.0,421.2857142857143,442.35714285714283,449.5357142857143,68.22972206850142
2023-03-27,BB1000,Central,498,55.0,0,0,2023,3,13,0,86,0,530.0,382.0,471.0,366.0,427.7142857142857,447.42857142857144,451.0,69.5354958649549
2023-03-28,BB1000,Central,416,55.0,0,0,2023,3,13,1,87,0,498.0,373.0,459.0,473.0,444.2857142857143,449.35714285714283,455.7142857142857,68.01734917180879
2023-03-29,BB1000,Central,417,55.0,0,0,2023,3,13,2,88,0,416.0,393.0,411.0,469.0,450.42857142857144,446.2857142857143,453.67857142857144,68.33309136619934
2023-03-30,BB1000,Central,481,55.0,0,0,2023,3,13,3,89,0,417.0,433.0,380.0,383.0,453.85714285714283,446.7142857142857,451.82142857142856,68.60733875626502
2023-03-31,BB1000,Central,377,55.0,0,0,2023,3,13,4,90,0,481.0,383.0,428.0,448.0,460.7142857142857,453.92857142857144,455.32142857142856,67.45646254158535
2023-04-01,BB1000,Central,591,55.0,0,0,2023,4,13,5,91,1,377.0,500.0,636.0,428.0,459.85714285714283,450.2857142857143,452.7857142857143,69.05733374461626
2023-04-02,BB1000,Central,617,55.0,0,0,2023,4,13,6,92,1,591.0,530.0,485.0,590.0,472.85714285714283,447.07142857142856,458.60714285714283,73.61075771104124
2023-04-03,BB1000,Central,504,55.0,0,0,2023,4,14,0,93,0,617.0,498.0,382.0,449.0,485.2857142857143,456.5,459.57142857142856,75.54710503629538
2023-04-04,BB1000,Central,437,55.0,0,0,2023,4,14,1,94,0,504.0,416.0,373.0,491.0,486.14285714285717,465.2142857142857,461.5357142857143,75.97586465833724
2023-04-05,BB1000,Central,456,55.0,0,0,2023,4,14,2,95,0,437.0,417.0,393.0,421.0,489.14285714285717,469.7857142857143,459.60714285714283,75.88555676060955
2023-04-06,BB1000,Central,466,55.0,0,0,2023,4,14,3,96,0,456.0,481.0,433.0,389.0,494.7142857142857,474.2857142857143,460.85714285714283,75.51341028105604
2023-04-07,BB1000,Central,464,55.0,0,0,2023,4,14,4,97,0,466.0,377.0,383.0,409.0,492.57142857142856,476.64285714285717,463.60714285714283,74.19011578656044
2023-04-08,BB1000,Central,566,55.0,0,0,2023,4,14,5,98,1,464.0,591.0,500.0,589.0,505.0,482.42857142857144,465.57142857142856,73.4148176442291
2023-04-09,BB1000,Central,549,55.0,0,0,2023,4,14,6,99,1,566.0,617.0,530.0,459.0,501.42857142857144,487.14285714285717,464.75,72.09953254073535
2023-04-10,BB1000,Central,481,55.0,0,0,2023,4,15,0,100,0,549.0,504.0,498.0,471.0,491.7142857142857,488.5,467.9642857142857,73.81934010504926
2023-04-11,BB1000,Central,403,55.0,0,0,2023,4,15,1,101,0,481.0,437.0,416.0,459.0,488.42857142857144,487.2857142857143,468.32142857142856,73.85875086518212
2023-04-12,BB1000,Central,443,55.0,0,0,2023,4,15,2,102,0,403.0,456.0,417.0,411.0,483.57142857142856,486.35714285714283,466.32142857142856,74.87176868507721
2023-04-13,BB1000,Central,447,55.0,0,0,2023,4,15,3,103,0,443.0,466.0,481.0,380.0,481.7142857142857,488.2142857142857,467.4642857142857,74.237597613816
2023-04-14,BB1000,Central,500,55.0,0,0,2023,4,15,4,104,0,447.0,464.0,377.0,428.0,479.0,485.7857142857143,469.85714285714283,72.37029996801365
2023-04-15,BB1000,Central,541,55.0,0,0,2023,4,15,5,105,1,500.0,566.0,591.0,636.0,484.14285714285717,494.57142857142856,472.42857142857144,72.1066229923787
2023-04-16,BB1000,Central,596,55.0,0,0,2023,4,15,6,106,1,541.0,549.0,617.0,485.0,480.57142857142856,491.0,469.0357142857143,66.11072762327055
2023-04-17,BB1000,Central,507,55.0,0,0,2023,4,16,0,107,0,596.0,481.0,504.0,382.0,487.2857142857143,489.5,473.0,70.29883303388388
2023-04-18,BB1000,Central,504,55.0,0,0,2023,4,16,1,108,0,507.0,403.0,437.0,373.0,491.0,489.7142857142857,477.4642857142857,68.24491957368697
2023-04-19,BB1000,Central,538,55.0,0,0,2023,4,16,2,109,0,504.0,443.0,456.0,393.0,505.42857142857144,494.5,482.14285714285717,65.2424051409157
2023-04-20,BB1000,Central,456,55.0,0,0,2023,4,16,3,110,0,538.0,447.0,466.0,433.0,519.0,500.35714285714283,487.32142857142856,63.639641484328926
2023-04-21,BB1000,Central,526,55.0,0,0,2023,4,16,4,111,0,456.0,500.0,464.0,383.0,520.2857142857143,499.64285714285717,488.14285714285717,63.058300059144926
2023-04-22,BB1000,Central,521,55.0,0,0,2023,4,16,5,112,1,526.0,541.0,566.0,500.0,524.0,504.07142857142856,493.25,59.94109763080031
2023-04-23,BB1000,Central,548,55.0,0,0,2023,4,16,6,113,1,521.0,596.0,549.0,530.0,521.1428571428571,500.85714285714283,494.0,60.15966410465681
2023-04-24,BB1000,Central,463,55.0,0,0,2023,4,17,0,114,0,548.0,507.0,481.0,498.0,514.2857142857143,500.7857142857143,494.64285714285717,60.6527543789774
2023-04-25,BB1000,Central,495,55.0,0,0,2023,4,17,1,115,0,463.0,504.0,403.0,416.0,508.0,499.5,493.39285714285717,60.94097890625699
2023-04-26,BB1000,Central,489,55.0,0,0,2023,4,17,2,116,0,495.0,538.0,443.0,417.0,506.7142857142857,506.07142857142856,496.2142857142857,59.02375990060427
2023-04-27,BB1000,Central,616,49.5,1,0,2023,4,17,3,117,0,489.0,456.0,447.0,481.0,499.7142857142857,509.35714285714283,498.7857142857143,56.97781058860411
2023-04-28,BB1000,Central,535,55.0,0,0,2023,4,17,4,118,0,616.0,526.0,500.0,377.0,522.5714285714286,521.4285714285714,503.60714285714283,60.987757900717746
2023-04-29,BB1000,Central,525,55.0,0,0,2023,4,17,5,119,1,535.0,521.0,541.0,591.0,523.8571428571429,523.9285714285714,509.25,55.9401962416606
2023-04-30,BB1000,Central,576,55.0,0,0,2023,4,17,6,120,1,525.0,548.0,596.0,617.0,524.4285714285714,522.7857142857143,506.89285714285717,53.71415379078648
2023-05-01,BB1000,Central,547,55.0,0,0,2023,5,18,0,121,0,576.0,463.0,507.0,504.0,528.4285714285714,521.3571428571429,505.42857142857144,51.09644372015048
2023-05-02,BB1000,Central,466,55.0,0,0,2023,5,18,1,122,0,547.0,495.0,504.0,437.0,540.4285714285714,524.2142857142857,506.9642857142857,51.69460330229796
2023-05-03,BB1000,Central,453,55.0,0,0,2023,5,18,2,123,0,466.0,489.0,538.0,456.0,536.2857142857143,521.5,508.0,50.51805691110871
2023-05-04,BB1000,Central,414,55.0,0,0,2023,5,18,3,124,0,453.0,616.0,456.0,466.0,531.1428571428571,515.4285714285714,507.89285714285717,50.63547233117316
2023-05-05,BB1000,Central,502,55.0,0,0,2023,5,18,4,125,0,414.0,535.0,526.0,464.0,502.2857142857143,512.4285714285714,506.0357142857143,53.121441679772886
2023-05-06,BB1000,Central,522,55.0,0,0,2023,5,18,5,126,1,502.0,525.0,521.0,566.0,497.57142857142856,510.7142857142857,507.39285714285717,52.48939172238699
2023-05-07,BB1000,Central,530,55.0,0,0,2023,5,18,6,127,1,522.0,576.0,548.0,549.0,497.14285714285717,510.7857142857143,505.82142857142856,51.31533131056617
2023-05-08,BB1000,Central,473,55.0,0,0,2023,5,19,0,128,0,530.0,547.0,463.0,481.0,490.57142857142856,509.5,505.14285714285717,50.84669353444911
2023-05-09,BB1000,Central,579,49.5,1,0,2023,5,19,1,129,0,473.0,466.0,495.0,403.0,480.0,510.2142857142857,504.85714285714283,51.00959552847662
2023-05-10,BB1000,Central,584,55.0,0,0,2023,5,19,2,130,0,579.0,453.0,489.0,443.0,496.14285714285717,516.2142857142857,511.14285714285717,48.78882255547011
2023-05-11,BB1000,Central,562,55.0,0,0,2023,5,19,3,131,0,584.0,414.0,616.0,447.0,514.8571428571429,523.0,516.1785714285714,48.77161710380921
2023-05-12,BB1000,Central,485,55.0,0,0,2023,5,19,4,132,0,562.0,502.0,535.0,500.0,536.0,519.1428571428571,520.2857142857143,47.557261503297894
2023-05-13,BB1000,Central,533,55.0,0,0,2023,5,19,5,133,1,485.0,522.0,525.0,541.0,533.5714285714286,515.5714285714286,519.75,47.877641112720426
2023-05-14,BB1000,Central,564,55.0,0,0,2023,5,19,6,134,1,533.0,530.0,576.0,596.0,535.1428571428571,516.1428571428571,519.4642857142857,47.76988214567395
2023-05-15,BB1000,Central,477,55.0,0,0,2023,5,20,0,135,0,564.0,473.0,547.0,507.0,540.0,515.2857142857143,518.3214285714286,46.228942010011636
2023-05-16,BB1000,Central,495,55.0,0,0,2023,5,20,1,136,0,477.0,579.0,466.0,504.0,540.5714285714286,510.2857142857143,517.25,46.84460125421718
2023-05-17,BB1000,Central,564,55.0,0,0,2023,5,20,2,137,0,495.0,584.0,453.0,538.0,528.5714285714286,512.3571428571429,516.9285714285714,46.96959502851602
2023-05-18,BB1000,Central,459,55.0,0,0,2023,5,20,3,138,0,564.0,562.0,414.0,456.0,525.7142857142857,520.2857142857143,517.8571428571429,47.65362236879442
2023-05-19,BB1000,Central,487,55.0,0,0,2023,5,20,4,139,0,459.0,485.0,502.0,526.0,511.0,523.5,517.9642857142857,47.51255751580903
