sku,actual_demand,forecast_demand,MAE,WAPE
OR1000,400939,399835.3,35.71944046020508,0.08196230654385997
BB1000,532588,527849.1,48.4828987121582,0.08375004256513052
EN250,371684,367205.75,34.18854904174805,0.08462420607135047
OR500,561499,559967.25,51.99154281616211,0.0851866447140823
LM250,470957,467314.06,43.976715087890625,0.08590715595379876
BB250,599854,596261.25,56.03776168823242,0.08594548356091193
EN500,265972,261306.64,25.076433181762695,0.08673964501531617
BB500,871547,853035.56,83.48590850830078,0.08812724732562024
LM500,664775,663098.6,64.17353820800781,0.0888114888055404
WT1000,928746,891506.4,96.79595947265625,0.09588442809200187
