sku,region,total_demand,fulfilled_demand,lost_sales,average_inventory,max_inventory,stockout_days,replenishment_orders,service_level,stockout_rate,average_inventory_value,annual_demand_value,inventory_turns,annual_holding_cost
BB1000,Central,93788.0,93699.0,89.0,2317.429347826087,7332.0,1,24,99.91,0.09,127458.61,10232576.63,80.28,25491.72
BB1000,East,98689.0,98580.0,109.0,2315.929347826087,6579.0,1,24,99.89,0.11,127376.11,10767291.71,84.53,25475.22
BB1000,North,105088.0,105088.0,0.0,2584.0652173913045,7653.0,0,24,100.0,0.0,142123.59,11465443.48,80.67,28424.72
BB1000,South,115154.0,114813.0,341.0,2823.9565217391305,10029.0,1,24,99.7,0.3,155317.61,12563676.9,80.89,31063.52
BB1000,West,119869.0,119596.0,273.0,2970.6304347826085,10070.0,2,24,99.77,0.23,163384.67,13078098.78,80.04,32676.93
BB250,Central,106227.0,106044.0,183.0,2607.461956521739,8414.0,2,24,99.83,0.17,62579.09,5057328.91,80.81,12515.82
BB250,East,113660.0,113638.0,22.0,2721.0760869565215,7649.0,1,24,99.98,0.02,65305.83,5411204.35,82.86,13061.17
BB250,North,116424.0,115918.0,506.0,2731.461956521739,8430.0,3,24,99.57,0.43,65555.09,5542794.78,84.55,13111.02
BB250,South,127596.0,127596.0,0.0,3279.086956521739,11518.0,0,24,100.0,0.0,78698.09,6074679.13,77.19,15739.62
BB250,West,135947.0,135711.0,236.0,3415.478260869565,11385.0,2,24,99.83,0.17,81971.48,6472259.35,78.96,16394.3
BB500,Central,151612.0,151293.0,319.0,3614.5489130434785,11776.0,3,24,99.79,0.21,126509.21,10526322.28,83.21,25301.84
BB500,East,165197.0,164615.0,582.0,4041.8858695652175,11155.0,2,24,99.65,0.35,141466.01,11469519.97,81.08,28293.2
BB500,North,172595.0,172461.0,134.0,4081.978260869565,12596.0,1,24,99.92,0.08,142869.24,11983158.29,83.88,28573.85
BB500,South,185409.0,184829.0,580.0,4476.086956521739,16200.0,3,25,99.69,0.31,156663.04,12872825.95,82.17,31332.61
BB500,West,196734.0,195383.0,1351.0,4349.25,15695.0,3,25,99.31,0.69,152223.75,13659113.32,89.73,30444.75
EN250,Central,66155.0,65940.0,215.0,1561.6141304347825,5107.0,3,24,99.68,0.32,74957.48,6299106.52,84.04,14991.5
EN250,East,68612.0,68612.0,0.0,1580.3532608695652,4565.0,0,24,100.0,0.0,75856.96,6533055.65,86.12,15171.39
EN250,North,72324.0,72301.0,23.0,1660.016304347826,5188.0,1,24,99.97,0.03,79680.78,6886502.61,86.43,15936.16
EN250,South,80523.0,80523.0,0.0,2058.7391304347825,7191.0,0,24,100.0,0.0,98819.48,7667190.0,77.59,19763.9
EN250,West,84070.0,84069.0,1.0,2027.6467391304348,6933.0,1,25,100.0,0.0,97327.04,8004926.09,82.25,19465.41
EN500,Central,46952.0,46906.0,46.0,1135.7826086956522,3663.0,1,24,99.9,0.1,81776.35,6705970.43,82.0,16355.27
EN500,East,49405.0,49314.0,91.0,1112.4728260869565,3255.0,2,25,99.82,0.18,80098.04,7056322.83,88.1,16019.61
EN500,North,52602.0,52444.0,158.0,1234.1467391304348,3781.0,1,24,99.7,0.3,88858.57,7512937.83,84.55,17771.71
EN500,South,57477.0,57177.0,300.0,1405.3315217391305,5026.0,3,24,99.48,0.52,101183.87,8209215.0,81.13,20236.77
EN500,West,59536.0,59187.0,349.0,1429.3804347826087,4761.0,2,24,99.41,0.59,102915.39,8503293.91,82.62,20583.08
LM250,Central,82779.0,82690.0,89.0,2016.25,6488.0,1,25,99.89,0.11,44357.5,3612583.53,81.44,8871.5
LM250,East,87296.0,87230.0,66.0,2022.8369565217392,5790.0,2,24,99.92,0.08,44502.41,3809711.3,85.61,8900.48
LM250,North,91310.0,90969.0,341.0,2159.4184782608695,6599.0,2,24,99.63,0.37,47507.21,3984887.5,83.88,9501.44
LM250,South,102067.0,102067.0,0.0,2688.929347826087,9227.0,0,24,100.0,0.0,59156.45,4454337.01,75.3,11831.29
LM250,West,107505.0,107427.0,78.0,2593.570652173913,8969.0,2,24,99.93,0.07,57058.55,4691658.42,82.23,11411.71
LM500,Central,115816.0,115376.0,440.0,2856.5108695652175,9134.0,1,24,99.62,0.38,91408.35,7351798.26,80.43,18281.67
LM500,East,123891.0,123787.0,104.0,2887.3641304347825,8362.0,2,24,99.92,0.08,92395.65,7864385.22,85.12,18479.13
LM500,North,131747.0,131722.0,25.0,3319.4239130434785,9773.0,1,24,99.98,0.02,106221.57,8363070.43,78.73,21244.31
LM500,South,143098.0,142619.0,479.0,3716.554347826087,12843.0,3,24,99.67,0.33,118929.74,9083612.17,76.38,23785.95
LM500,West,150223.0,149896.0,327.0,3799.771739130435,12782.0,2,24,99.78,0.22,121592.7,9535894.78,78.42,24318.54
OR1000,Central,70301.0,70185.0,116.0,1699.0652173913043,5446.0,2,24,99.83,0.17,88351.39,7251700.98,82.08,17670.28
OR1000,East,73985.0,73985.0,0.0,1754.3152173913043,5022.0,0,24,100.0,0.0,91224.39,7631713.59,83.66,18244.88
OR1000,North,78372.0,78323.0,49.0,1833.8967391304348,5661.0,1,24,99.94,0.06,95362.63,8084242.17,84.77,19072.53
OR1000,South,88083.0,87793.0,290.0,2339.842391304348,7833.0,1,24,99.67,0.33,121671.8,9085952.93,74.68,24334.36
OR1000,West,90198.0,90186.0,12.0,2274.2010869565215,7511.0,1,23,99.99,0.01,118258.46,9304119.78,78.68,23651.69
OR500,Central,98066.0,97948.0,118.0,2382.141304347826,7577.0,1,24,99.88,0.12,80992.8,6614125.33,81.66,16198.56
