sku,region,average_daily_demand,demand_std,actual_average_demand,lead_time_days,lead_time_demand,safety_stock,reorder_point,target_inventory,days_of_inventory
BB1000,Central,506.68990760869565,56.18968382492725,509.7173913043478,8,4053.519260869565,261.0,4315.0,7861.0,15.5
BB1000,East,528.9952518478261,58.630197338445804,536.3532608695652,6,3173.9715110869565,236.0,3410.0,7113.0,13.4
BB1000,North,572.5059841847826,64.53426611038688,571.1304347826087,7,4007.5418892934786,281.0,4289.0,8296.0,14.5
BB1000,South,615.9235834239131,63.990016111007606,625.8369565217391,10,6159.235834239131,333.0,6492.0,10804.0,17.5
BB1000,West,644.6305651086957,80.25873251247836,651.4619565217391,9,5801.675085978261,396.0,6198.0,10710.0,16.6
BB250,Central,574.0760966847826,67.58136138780215,577.320652173913,8,4592.60877347826,314.0,4907.0,8925.0,15.5
BB250,East,617.9882954891305,70.5116604526035,617.7173913043479,6,3707.9297729347827,284.0,3992.0,8318.0,13.5
BB250,North,624.2730604891304,67.0573718605834,632.7391304347826,7,4369.911423423913,292.0,4662.0,9032.0,14.5
BB250,South,691.1955536413044,79.40234132236561,693.4565217391304,10,6911.955536413044,413.0,7325.0,12163.0,17.6
BB250,West,733.0170126086956,79.96759739433422,738.8423913043479,9,6597.153113478261,395.0,6992.0,12123.0,16.5
BB500,Central,816.392553478261,84.25041260368171,823.9782608695652,8,6531.140427826088,392.0,6923.0,12638.0,15.5
BB500,East,898.3571451086957,114.61640999773722,897.8097826086956,6,5390.142870652175,462.0,5852.0,12141.0,13.5
BB500,North,926.8972358695653,107.78667797929779,938.0163043478261,7,6488.280651086957,469.0,6957.0,13446.0,14.5
BB500,South,983.8525292934783,101.59582996179503,1007.6576086956521,10,9838.525292934783,528.0,10367.0,17253.0,17.5
BB500,West,1010.5634575,110.62677684514337,1069.2065217391305,9,9095.0711175,546.0,9641.0,16715.0,16.5
EN250,Central,355.22291902173913,34.162774155211125,359.5380434782609,8,2841.783352173913,159.0,3001.0,5487.0,15.4
EN250,East,369.83150624999996,39.21804345071008,372.89130434782606,6,2218.9890374999995,158.0,2377.0,4966.0,13.4
EN250,North,386.62822815217396,39.03217702046338,393.0652173913044,7,2706.3975970652177,170.0,2876.0,5583.0,14.4
EN250,South,436.35031510869567,47.57332624080537,437.625,10,4363.503151086957,247.0,4611.0,7665.0,17.6
EN250,West,447.65042152173913,47.46224657380843,456.9021739130435,9,4028.8537936956523,234.0,4263.0,7396.0,16.5
EN500,Central,252.78167489130433,27.69795790836042,255.17391304347825,8,2022.2533991304347,129.0,2151.0,3921.0,15.5
EN500,East,261.5632269565217,24.965190582369488,268.5054347826087,6,1569.3793617391302,101.0,1670.0,3501.0,13.4
EN500,North,282.22466793478264,29.012898778020364,285.8804347826087,7,1975.5726755434785,126.0,2102.0,4077.0,14.4
EN500,South,306.94064559782606,30.480712156169943,312.375,10,3069.4064559782605,159.0,3228.0,5377.0,17.5
EN500,West,316.6345902173913,34.56588927547075,323.5652173913044,9,2849.7113119565215,171.0,3021.0,5237.0,16.5
LM250,Central,446.44200538043475,48.37585565499617,449.8858695652174,8,3571.536043043478,225.0,3797.0,6922.0,15.5
LM250,East,468.7377825,47.338443685752324,474.4347826086956,6,2812.426695,191.0,3003.0,6285.0,13.4
LM250,North,491.20748456521744,54.3275125408721,496.25,7,3438.452391956522,236.0,3674.0,7113.0,14.5
LM250,South,557.1955840217391,69.49975414001058,554.7119565217391,10,5571.955840217392,362.0,5934.0,9834.0,17.6
LM250,West,576.1675345108696,62.03052260106805,584.2663043478261,9,5185.507810597826,306.0,5492.0,9525.0,16.5
LM500,Central,625.1707004347826,69.09273377250403,629.4347826086956,8,5001.365603478261,321.0,5322.0,9699.0,15.5
LM500,East,666.5588217934783,68.69056906036434,673.320652173913,6,3999.3529307608696,277.0,4276.0,8942.0,13.4
LM500,North,721.3103135869566,87.97068053031715,716.0163043478261,7,5049.172195108696,383.0,5432.0,10481.0,14.5
LM500,South,777.8878304891305,88.31734422512689,777.7065217391304,10,7778.878304891305,459.0,8238.0,13683.0,17.6
LM500,West,812.8690013043479,93.81067203041201,816.429347826087,9,7315.821011739131,463.0,7779.0,13469.0,16.6
OR1000,Central,376.9920552717391,40.78816406986442,382.07065217391306,8,3015.936442173913,190.0,3206.0,5845.0,15.5
OR1000,East,400.83788190217393,43.976678563424755,402.0923913043478,6,2405.0272914130437,177.0,2582.0,5388.0,13.4
OR1000,North,423.61666668478256,39.67634228010716,425.9347826086956,7,2965.316666793478,173.0,3138.0,6104.0,14.4
OR1000,South,479.68281380434786,58.309117986355176,478.7119565217391,10,4796.828138043478,303.0,5100.0,8458.0,17.6
OR1000,West,491.88837586956527,56.769121019225636,490.20652173913044,9,4426.995382826088,280.0,4707.0,8150.0,16.6
OR500,Central,528.1205852717392,60.30609882002387,532.9673913043479,8,4224.964682173913,281.0,4506.0,8203.0,15.5
OR500,East,567.0183291847826,57.35992419083407,567.3423913043479,6,3402.109975108696,231.0,3633.0,7602.0,13.4
OR500,North,595.0297321195652,68.49791470713156,596.804347826087,7,4165.208124836957,298.0,4463.0,8628.0,14.5
OR500,South,657.5776567391304,70.8297663468797,660.4836956521739,10,6575.776567391304,368.0,6944.0,11547.0,17.6
OR500,West,695.5540914673912,80.8229622861025,694.0271739130435,9,6259.986823206521,399.0,6659.0,11528.0,16.6
WT1000,Central,895.4603797826087,119.44863694198995,899.5652173913044,8,7163.68303826087,556.0,7720.0,13988.0,15.6
WT1000,East,926.5116413043478,111.9811046334919,940.4782608695652,6,5559.0698478260865,451.0,6010.0,12496.0,13.5
WT1000,North,949.4394703804347,99.25722527622366,978.0326086956521,7,6646.076292663043,432.0,7078.0,13724.0,14.5
WT1000,South,1020.9334482608696,103.33397036186734,1082.2119565217392,10,10209.334482608696,537.0,10746.0,17893.0,17.5
WT1000,West,1052.7982389673912,137.4122666447069,1147.2445652173913,9,9475.18415070652,678.0,10153.0,17523.0,16.6
