date,beginning_inventory,demand,fulfilled,lost_sales,ending_inventory,inventory_position,order_quantity,received_quantity,sku,region
2025-07-01,7861.0,529.0,529.0,0.0,7332.0,7332.0,0.0,0.0,BB1000,Central
2025-07-02,7332.0,504.0,504.0,0.0,6828.0,6828.0,0.0,0.0,BB1000,Central
2025-07-03,6828.0,502.0,502.0,0.0,6326.0,6326.0,0.0,0.0,BB1000,Central
2025-07-04,6326.0,552.0,552.0,0.0,5774.0,5774.0,0.0,0.0,BB1000,Central
2025-07-05,5774.0,594.0,594.0,0.0,5180.0,5180.0,0.0,0.0,BB1000,Central
2025-07-06,5180.0,621.0,621.0,0.0,4559.0,4559.0,0.0,0.0,BB1000,Central
2025-07-07,4559.0,498.0,498.0,0.0,4061.0,4061.0,3800.0,0.0,BB1000,Central
2025-07-08,4061.0,567.0,567.0,0.0,3494.0,7294.0,0.0,0.0,BB1000,Central
2025-07-09,3494.0,456.0,456.0,0.0,3038.0,6838.0,0.0,0.0,BB1000,Central
2025-07-10,3038.0,674.0,674.0,0.0,2364.0,6164.0,0.0,0.0,BB1000,Central
2025-07-11,2364.0,546.0,546.0,0.0,1818.0,5618.0,0.0,0.0,BB1000,Central
2025-07-12,1818.0,668.0,668.0,0.0,1150.0,4950.0,0.0,0.0,BB1000,Central
2025-07-13,1150.0,681.0,681.0,0.0,469.0,4269.0,3592.0,0.0,BB1000,Central
2025-07-14,469.0,558.0,469.0,89.0,0.0,7392.0,0.0,0.0,BB1000,Central
2025-07-15,3800.0,598.0,598.0,0.0,3202.0,6794.0,0.0,3800.0,BB1000,Central
2025-07-16,3202.0,508.0,508.0,0.0,2694.0,6286.0,0.0,0.0,BB1000,Central
2025-07-17,2694.0,615.0,615.0,0.0,2079.0,5671.0,0.0,0.0,BB1000,Central
2025-07-18,2079.0,551.0,551.0,0.0,1528.0,5120.0,0.0,0.0,BB1000,Central
2025-07-19,1528.0,497.0,497.0,0.0,1031.0,4623.0,0.0,0.0,BB1000,Central
2025-07-20,1031.0,601.0,601.0,0.0,430.0,4022.0,3839.0,0.0,BB1000,Central
2025-07-21,4022.0,485.0,485.0,0.0,3537.0,7376.0,0.0,3592.0,BB1000,Central
2025-07-22,3537.0,479.0,479.0,0.0,3058.0,6897.0,0.0,0.0,BB1000,Central
2025-07-23,3058.0,490.0,490.0,0.0,2568.0,6407.0,0.0,0.0,BB1000,Central
2025-07-24,2568.0,557.0,557.0,0.0,2011.0,5850.0,0.0,0.0,BB1000,Central
2025-07-25,2011.0,708.0,708.0,0.0,1303.0,5142.0,0.0,0.0,BB1000,Central
2025-07-26,1303.0,611.0,611.0,0.0,692.0,4531.0,0.0,0.0,BB1000,Central
2025-07-27,692.0,534.0,534.0,0.0,158.0,3997.0,3864.0,0.0,BB1000,Central
2025-07-28,3997.0,565.0,565.0,0.0,3432.0,7296.0,0.0,3839.0,BB1000,Central
2025-07-29,3432.0,603.0,603.0,0.0,2829.0,6693.0,0.0,0.0,BB1000,Central
2025-07-30,2829.0,554.0,554.0,0.0,2275.0,6139.0,0.0,0.0,BB1000,Central
2025-07-31,2275.0,485.0,485.0,0.0,1790.0,5654.0,0.0,0.0,BB1000,Central
2025-08-01,1790.0,417.0,417.0,0.0,1373.0,5237.0,0.0,0.0,BB1000,Central
2025-08-02,1373.0,690.0,690.0,0.0,683.0,4547.0,0.0,0.0,BB1000,Central
2025-08-03,683.0,645.0,645.0,0.0,38.0,3902.0,3959.0,0.0,BB1000,Central
2025-08-04,3902.0,457.0,457.0,0.0,3445.0,7404.0,0.0,3864.0,BB1000,Central
2025-08-05,3445.0,516.0,516.0,0.0,2929.0,6888.0,0.0,0.0,BB1000,Central
2025-08-06,2929.0,455.0,455.0,0.0,2474.0,6433.0,0.0,0.0,BB1000,Central
2025-08-07,2474.0,446.0,446.0,0.0,2028.0,5987.0,0.0,0.0,BB1000,Central
2025-08-08,2028.0,527.0,527.0,0.0,1501.0,5460.0,0.0,0.0,BB1000,Central
2025-08-09,1501.0,723.0,723.0,0.0,778.0,4737.0,0.0,0.0,BB1000,Central
2025-08-10,778.0,531.0,531.0,0.0,247.0,4206.0,3655.0,0.0,BB1000,Central
2025-08-11,4206.0,493.0,493.0,0.0,3713.0,7368.0,0.0,3959.0,BB1000,Central
2025-08-12,3713.0,603.0,603.0,0.0,3110.0,6765.0,0.0,0.0,BB1000,Central
2025-08-13,3110.0,489.0,489.0,0.0,2621.0,6276.0,0.0,0.0,BB1000,Central
2025-08-14,2621.0,460.0,460.0,0.0,2161.0,5816.0,0.0,0.0,BB1000,Central
2025-08-15,2161.0,644.0,644.0,0.0,1517.0,5172.0,0.0,0.0,BB1000,Central
2025-08-16,1517.0,532.0,532.0,0.0,985.0,4640.0,0.0,0.0,BB1000,Central
2025-08-17,985.0,554.0,554.0,0.0,431.0,4086.0,3775.0,0.0,BB1000,Central
2025-08-18,4086.0,453.0,453.0,0.0,3633.0,7408.0,0.0,3655.0,BB1000,Central
2025-08-19,3633.0,483.0,483.0,0.0,3150.0,6925.0,0.0,0.0,BB1000,Central
2025-08-20,3150.0,615.0,615.0,0.0,2535.0,6310.0,0.0,0.0,BB1000,Central
2025-08-21,2535.0,405.0,405.0,0.0,2130.0,5905.0,0.0,0.0,BB1000,Central
2025-08-22,2130.0,577.0,577.0,0.0,1553.0,5328.0,0.0,0.0,BB1000,Central
2025-08-23,1553.0,481.0,481.0,0.0,1072.0,4847.0,0.0,0.0,BB1000,Central
2025-08-24,1072.0,551.0,551.0,0.0,521.0,4296.0,3565.0,0.0,BB1000,Central
2025-08-25,4296.0,427.0,427.0,0.0,3869.0,7434.0,0.0,3775.0,BB1000,Central
2025-08-26,3869.0,405.0,405.0,0.0,3464.0,7029.0,0.0,0.0,BB1000,Central
2025-08-27,3464.0,516.0,516.0,0.0,2948.0,6513.0,0.0,0.0,BB1000,Central
2025-08-28,2948.0,577.0,577.0,0.0,2371.0,5936.0,0.0,0.0,BB1000,Central
2025-08-29,2371.0,447.0,447.0,0.0,1924.0,5489.0,0.0,0.0,BB1000,Central
2025-08-30,1924.0,646.0,646.0,0.0,1278.0,4843.0,0.0,0.0,BB1000,Central
2025-08-31,1278.0,561.0,561.0,0.0,717.0,4282.0,3579.0,0.0,BB1000,Central
2025-09-01,4282.0,530.0,530.0,0.0,3752.0,7331.0,0.0,3565.0,BB1000,Central
2025-09-02,3752.0,491.0,491.0,0.0,3261.0,6840.0,0.0,0.0,BB1000,Central
2025-09-03,3261.0,445.0,445.0,0.0,2816.0,6395.0,0.0,0.0,BB1000,Central
2025-09-04,2816.0,507.0,507.0,0.0,2309.0,5888.0,0.0,0.0,BB1000,Central
2025-09-05,2309.0,488.0,488.0,0.0,1821.0,5400.0,0.0,0.0,BB1000,Central
2025-09-06,1821.0,476.0,476.0,0.0,1345.0,4924.0,0.0,0.0,BB1000,Central
2025-09-07,1345.0,583.0,583.0,0.0,762.0,4341.0,0.0,0.0,BB1000,Central
2025-09-08,4341.0,491.0,491.0,0.0,3850.0,3850.0,4011.0,3579.0,BB1000,Central
2025-09-09,3850.0,443.0,443.0,0.0,3407.0,7418.0,0.0,0.0,BB1000,Central
2025-09-10,3407.0,437.0,437.0,0.0,2970.0,6981.0,0.0,0.0,BB1000,Central
2025-09-11,2970.0,488.0,488.0,0.0,2482.0,6493.0,0.0,0.0,BB1000,Central
2025-09-12,2482.0,500.0,500.0,0.0,1982.0,5993.0,0.0,0.0,BB1000,Central
2025-09-13,1982.0,552.0,552.0,0.0,1430.0,5441.0,0.0,0.0,BB1000,Central
2025-09-14,1430.0,611.0,611.0,0.0,819.0,4830.0,0.0,0.0,BB1000,Central
2025-09-15,819.0,468.0,468.0,0.0,351.0,4362.0,0.0,0.0,BB1000,Central
2025-09-16,4362.0,395.0,395.0,0.0,3967.0,3967.0,3894.0,4011.0,BB1000,Central
2025-09-17,3967.0,417.0,417.0,0.0,3550.0,7444.0,0.0,0.0,BB1000,Central
2025-09-18,3550.0,383.0,383.0,0.0,3167.0,7061.0,0.0,0.0,BB1000,Central
2025-09-19,3167.0,451.0,451.0,0.0,2716.0,6610.0,0.0,0.0,BB1000,Central
2025-09-20,2716.0,604.0,604.0,0.0,2112.0,6006.0,0.0,0.0,BB1000,Central
2025-09-21,2112.0,537.0,537.0,0.0,1575.0,5469.0,0.0,0.0,BB1000,Central
