week_start,plant_id,production_cases,weekly_capacity_cases,capacity_utilization
2025-06-30,P01,3126.36467,180000,1.74
2025-06-30,P02,10225.89383,220000,4.65
2025-06-30,P03,2913.9327,160000,1.82
2025-07-07,P01,3526.30361,180000,1.96
2025-07-07,P02,11371.69045,220000,5.17
2025-07-07,P03,3312.12259,160000,2.07
2025-07-14,P01,3547.88559,180000,1.97
2025-07-14,P02,11425.371869999999,220000,5.19
2025-07-14,P03,3350.67932,160000,2.09
2025-07-21,P01,3511.7722599999997,180000,1.95
2025-07-21,P02,11486.53493,220000,5.22
2025-07-21,P03,3294.67891,160000,2.06
2025-07-28,P01,3329.39747,180000,1.85
2025-07-28,P02,11091.35253,220000,5.04
2025-07-28,P03,3185.95949,160000,1.99
2025-08-04,P01,3187.1298,180000,1.77
2025-08-04,P02,10510.48427,220000,4.78
2025-08-04,P03,3033.50057,160000,1.9
2025-08-11,P01,3228.41754,180000,1.79
2025-08-11,P02,10617.427239999999,220000,4.83
2025-08-11,P03,3081.7889800000003,160000,1.93
2025-08-18,P01,3154.5756300000003,180000,1.75
2025-08-18,P02,10491.037858,220000,4.77
2025-08-18,P03,2958.10739,160000,1.85
2025-08-25,P01,3232.12247,180000,1.8
2025-08-25,P02,10442.83403,220000,4.75
2025-08-25,P03,2920.33025,160000,1.83
2025-09-01,P01,3167.70085,180000,1.76
2025-09-01,P02,10369.07916,220000,4.71
2025-09-01,P03,2971.16306,160000,1.86
2025-09-08,P01,3225.1930199999997,180000,1.79
2025-09-08,P02,10396.61789,220000,4.73
2025-09-08,P03,2918.39318,160000,1.82
2025-09-15,P01,3203.22058,180000,1.78
2025-09-15,P02,10410.263570000001,220000,4.73
2025-09-15,P03,2972.66995,160000,1.86
2025-09-22,P01,3213.54609,180000,1.79
2025-09-22,P02,10476.60829,220000,4.76
2025-09-22,P03,2949.1143899999997,160000,1.84
2025-09-29,P01,3235.81487,180000,1.8
2025-09-29,P02,10566.55323,220000,4.8
2025-09-29,P03,2996.5477,160000,1.87
2025-10-06,P01,3182.42097,180000,1.77
2025-10-06,P02,10396.49877,220000,4.73
2025-10-06,P03,2950.95924,160000,1.84
2025-10-13,P01,3186.98113,180000,1.77
2025-10-13,P02,10458.11366,220000,4.75
2025-10-13,P03,2986.57982,160000,1.87
2025-10-20,P01,3306.58595,180000,1.84
2025-10-20,P02,10624.4535,220000,4.83
2025-10-20,P03,3080.71295,160000,1.93
2025-10-27,P01,3203.9247100000002,180000,1.78
2025-10-27,P02,10539.07652,220000,4.79
2025-10-27,P03,2989.22213,160000,1.87
2025-11-03,P01,3266.85585,180000,1.81
2025-11-03,P02,10451.41063,220000,4.75
2025-11-03,P03,3048.00103,160000,1.91
2025-11-10,P01,3184.50473,180000,1.77
2025-11-10,P02,10502.41947,220000,4.77
2025-11-10,P03,3011.0057500000003,160000,1.88
2025-11-17,P01,3223.55513,180000,1.79
2025-11-17,P02,10561.88539,220000,4.8
2025-11-17,P03,2989.64602,160000,1.87
2025-11-24,P01,3235.62914,180000,1.8
2025-11-24,P02,10470.84269,220000,4.76
2025-11-24,P03,3059.65399,160000,1.91
2025-12-01,P01,3193.2895,180000,1.77
2025-12-01,P02,10466.99948,220000,4.76
2025-12-01,P03,3008.51665,160000,1.88
2025-12-08,P01,3204.8419,180000,1.78
2025-12-08,P02,10581.09063,220000,4.81
2025-12-08,P03,3064.01953,160000,1.92
2025-12-15,P01,3220.75196,180000,1.79
2025-12-15,P02,10474.49375,220000,4.76
2025-12-15,P03,2992.76263,160000,1.87
2025-12-22,P01,3283.05893,180000,1.82
2025-12-22,P02,10761.73212,220000,4.89
2025-12-22,P03,3075.7623000000003,160000,1.92
2025-12-29,P01,1914.950402,180000,1.06
2025-12-29,P02,6394.455544,220000,2.91
2025-12-29,P03,1758.736842,160000,1.1
