week_start,plant_id,raw_material_id,raw_material_requirement,raw_material_name,unit,unit_cost,lead_time_days,safety_stock_days,moq,opening_inventory,safety_stock,projected_inventory_before_receipt,planned_order_quantity,ending_inventory,purchase_cost
2025-06-30,P01,RM001,8577.569214,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,9422.430786,0.0,9422.430786,0.0
2025-07-07,P01,RM001,9513.417936,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-90.98714999999902,6500.0,6409.012850000001,4225.0
2025-07-14,P01,RM001,9638.707863,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-3229.6950129999987,9500.0,6270.304987000001,6175.0
2025-07-21,P01,RM001,9577.926408,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-3307.621420999998,10000.0,6692.378579000002,6500.0
2025-07-28,P01,RM001,9083.48601,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2391.1074309999985,9000.0,6608.8925690000015,5850.0
2025-08-04,P01,RM001,8651.783643,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2042.8910739999992,8500.0,6457.108926000001,5525.0
2025-08-11,P01,RM001,8765.847051,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2308.738125,9000.0,6691.261875,5850.0
2025-08-18,P01,RM001,8633.923908,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-1942.6620330000005,8500.0,6557.3379669999995,5525.0
2025-08-25,P01,RM001,8870.202512999998,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2312.864545999999,9000.0,6687.135454000001,5850.0
2025-09-01,P01,RM001,8576.382831,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-1889.2473769999997,8500.0,6610.752623,5525.0
2025-09-08,P01,RM001,8824.856946,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2214.1043229999996,8500.0,6285.895677,5525.0
2025-09-15,P01,RM001,8705.682288,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2419.7866109999995,9000.0,6580.2133890000005,5850.0
2025-09-22,P01,RM001,8758.357908,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2178.1445189999995,8500.0,6321.8554810000005,5525.0
2025-09-29,P01,RM001,8798.955354,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2477.099872999999,9000.0,6522.900127000001,5850.0
2025-10-06,P01,RM001,8611.648191,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2088.7480639999994,8500.0,6411.251936000001,5525.0
2025-10-13,P01,RM001,8562.428823,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2151.1768869999996,8500.0,6348.823113,5525.0
2025-10-20,P01,RM001,8993.147496,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2644.324382999999,9000.0,6355.675617000001,5850.0
2025-10-27,P01,RM001,8669.459763,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2313.784146,9000.0,6686.215854,5850.0
2025-11-03,P01,RM001,8927.508759,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2241.2929050000002,8500.0,6258.707095,5525.0
2025-11-10,P01,RM001,8631.202344,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2372.4952489999996,9000.0,6627.504751,5850.0
2025-11-17,P01,RM001,8725.874688,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2098.3699369999995,8500.0,6401.6300630000005,5525.0
2025-11-24,P01,RM001,8746.988463,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2345.358399999999,9000.0,6654.641600000001,5850.0
2025-12-01,P01,RM001,8574.714219,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-1920.0726189999987,8500.0,6579.927381000001,5525.0
2025-12-08,P01,RM001,8631.736485,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2051.809103999998,8500.0,6448.190896000002,5525.0
2025-12-15,P01,RM001,8675.443308,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2227.252411999998,8500.0,6272.747588000002,5525.0
2025-12-22,P01,RM001,8895.488847,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,-2622.7412589999985,9000.0,6377.2587410000015,5850.0
2025-12-29,P01,RM001,5205.492448800001,Sugar,kg,0.65,7,5,500,18000,6212.387135126984,1171.7662922000009,5500.0,6671.766292200001,3575.0
2025-06-30,P01,RM002,1717.8636497999998,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,1782.1363502000002,0.0,1782.1363502000002,0.0
2025-07-07,P01,RM002,1903.9019256,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,-121.76557539999976,1900.0,1778.2344246000002,8550.0
2025-07-14,P01,RM002,1928.9910197,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,-150.75659509999969,1900.0,1749.2434049000003,8550.0
2025-07-21,P01,RM002,1918.0274559999998,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,-168.7840510999995,2000.0,1831.2159489000005,9000.0
2025-07-28,P01,RM002,1819.1631082,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,12.052840700000615,1800.0,1812.0528407000006,8100.0
2025-08-04,P01,RM002,1731.308024,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,80.74481670000068,1700.0,1780.7448167000007,7650.0
2025-08-11,P01,RM002,1756.7206263,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,24.024190400000634,1800.0,1824.0241904000006,8100.0
2025-08-18,P01,RM002,1728.2197603,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,95.80443010000067,1700.0,1795.8044301000007,7650.0
2025-08-25,P01,RM002,1774.7866678999999,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,21.01776220000079,1800.0,1821.0177622000008,8100.0
2025-09-01,P01,RM002,1718.0025705,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,103.01519170000074,1700.0,1803.0151917000007,7650.0
2025-09-08,P01,RM002,1766.8173355,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,36.19785620000084,1800.0,1836.1978562000008,8100.0
2025-09-15,P01,RM002,1742.9069447,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,93.2909115000009,1700.0,1793.290911500001,7650.0
2025-09-22,P01,RM002,1753.6885674,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,39.60234410000089,1800.0,1839.602344100001,8100.0
2025-09-29,P01,RM002,1761.787212,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,77.81513210000094,1700.0,1777.815132100001,7650.0
2025-10-06,P01,RM002,1724.3063443,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,53.508787800000846,1700.0,1753.5087878000008,7650.0
2025-10-13,P01,RM002,1715.0279614,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,38.48082640000075,1800.0,1838.4808264000008,8100.0
2025-10-20,P01,RM002,1801.7315164,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,36.74931000000083,1800.0,1836.7493100000008,8100.0
2025-10-27,P01,RM002,1737.0084149999998,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,99.74089500000105,1700.0,1799.740895000001,7650.0
2025-11-03,P01,RM002,1787.2780688,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,12.462826200001018,1800.0,1812.462826200001,8100.0
2025-11-10,P01,RM002,1728.446108,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,84.01671820000092,1700.0,1784.016718200001,7650.0
2025-11-17,P01,RM002,1746.5206709,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,37.49604730000101,1800.0,1837.496047300001,8100.0
2025-11-24,P01,RM002,1750.4227576,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,87.07328970000094,1700.0,1787.073289700001,7650.0
2025-12-01,P01,RM002,1715.5830979999998,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,71.4901917000011,1700.0,1771.490191700001,7650.0
2025-12-08,P01,RM002,1727.1389906,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,44.35120110000116,1700.0,1744.3512011000012,7650.0
2025-12-15,P01,RM002,1736.7052788,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,7.645922300001075,1800.0,1807.645922300001,8100.0
2025-12-22,P01,RM002,1780.1463445,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,27.499577800001134,1800.0,1827.4995778000011,8100.0
2025-12-29,P01,RM002,1041.29529545,Beverage Concentrate,kg,4.5,14,7,100,3500,1741.2516932462963,786.2042823500012,1000.0,1786.2042823500012,4500.0
2025-06-30,P01,RM003,77.0572892,CO2,kg,1.8,5,3,100,180,33.49172525777778,102.9427108,0.0,102.9427108,0.0
2025-07-07,P01,RM003,85.4471271,CO2,kg,1.8,5,3,100,180,33.49172525777778,17.495583699999997,100.0,117.4955837,180.0
2025-07-14,P01,RM003,86.69065495,CO2,kg,1.8,5,3,100,180,33.49172525777778,30.804928750000002,100.0,130.80492875,180.0
2025-07-21,P01,RM003,86.24166679999999,CO2,kg,1.8,5,3,100,180,33.49172525777778,44.56326195,0.0,44.56326195,0.0
2025-07-28,P01,RM003,81.5047698,CO2,kg,1.8,5,3,100,180,33.49172525777778,-36.94150785000001,100.0,63.05849214999999,180.0
2025-08-04,P01,RM003,77.83147915,CO2,kg,1.8,5,3,100,180,33.49172525777778,-14.772987000000015,100.0,85.22701299999999,180.0
2025-08-11,P01,RM003,78.66305085,CO2,kg,1.8,5,3,100,180,33.49172525777778,6.5639621499999805,100.0,106.56396214999998,180.0
2025-08-18,P01,RM003,77.5239468,CO2,kg,1.8,5,3,100,180,33.49172525777778,29.040015349999976,100.0,129.04001534999998,180.0
2025-08-25,P01,RM003,79.58455095,CO2,kg,1.8,5,3,100,180,33.49172525777778,49.45546439999998,0.0,49.45546439999998,0.0
2025-09-01,P01,RM003,77.03042335,CO2,kg,1.8,5,3,100,180,33.49172525777778,-27.574958950000024,100.0,72.42504104999998,180.0
2025-09-08,P01,RM003,79.191314,CO2,kg,1.8,5,3,100,180,33.49172525777778,-6.76627295000003,100.0,93.23372704999997,180.0
2025-09-15,P01,RM003,78.2282008,CO2,kg,1.8,5,3,100,180,33.49172525777778,15.005526249999974,100.0,115.00552624999997,180.0
2025-09-22,P01,RM003,78.6096528,CO2,kg,1.8,5,3,100,180,33.49172525777778,36.39587344999997,0.0,36.39587344999997,0.0
2025-09-29,P01,RM003,79.0344591,CO2,kg,1.8,5,3,100,180,33.49172525777778,-42.63858565000004,100.0,57.36141434999996,180.0
2025-10-06,P01,RM003,77.45733255,CO2,kg,1.8,5,3,100,180,33.49172525777778,-20.095918200000042,100.0,79.90408179999996,180.0
2025-10-13,P01,RM003,76.94854495,CO2,kg,1.8,5,3,100,180,33.49172525777778,2.955536849999959,100.0,102.95553684999996,180.0
2025-10-20,P01,RM003,80.7910978,CO2,kg,1.8,5,3,100,180,33.49172525777778,22.164439049999956,100.0,122.16443904999996,180.0
2025-10-27,P01,RM003,77.88315205,CO2,kg,1.8,5,3,100,180,33.49172525777778,44.28128699999995,0.0,44.28128699999995,0.0
2025-11-03,P01,RM003,80.13546555,CO2,kg,1.8,5,3,100,180,33.49172525777778,-35.85417855000006,100.0,64.14582144999994,180.0
2025-11-10,P01,RM003,77.5495095,CO2,kg,1.8,5,3,100,180,33.49172525777778,-13.403688050000056,100.0,86.59631194999994,180.0
2025-11-17,P01,RM003,78.3934331,CO2,kg,1.8,5,3,100,180,33.49172525777778,8.202878849999948,100.0,108.20287884999995,180.0
2025-11-24,P01,RM003,78.63688525,CO2,kg,1.8,5,3,100,180,33.49172525777778,29.565993599999942,100.0,129.56599359999996,180.0
2025-12-01,P01,RM003,77.05362315,CO2,kg,1.8,5,3,100,180,33.49172525777778,52.51237044999995,0.0,52.51237044999995,0.0
2025-12-08,P01,RM003,77.66834014999999,CO2,kg,1.8,5,3,100,180,33.49172525777778,-25.155969700000043,100.0,74.84403029999996,180.0
2025-12-15,P01,RM003,78.0877545,CO2,kg,1.8,5,3,100,180,33.49172525777778,-3.2437242000000452,100.0,96.75627579999995,180.0
2025-12-22,P01,RM003,79.99341865,CO2,kg,1.8,5,3,100,180,33.49172525777778,16.76285714999996,100.0,116.76285714999996,180.0
2025-12-29,P01,RM003,46.74154839,CO2,kg,1.8,5,3,100,180,33.49172525777778,70.02130875999995,0.0,70.02130875999995,0.0
