plant_id,sku,region,production_cases,total_cost,week_start
P01,BB250,North,246.98375,4939.674999999999,2025-06-30
P01,BB500,North,368.87505,9959.62635,2025-06-30
P01,BB1000,North,465.44701,19083.327409999998,2025-06-30
P01,LM250,North,186.19101,3537.62919,2025-06-30
P01,LM500,North,295.04082,7376.0205,2025-06-30
P01,OR500,North,235.0059,6110.1534,2025-06-30
P01,OR1000,North,329.9842,13199.367999999999,2025-06-30
P01,EN250,North,148.47822,5493.69414,2025-06-30
P01,EN500,North,116.7836,6656.6652,2025-06-30
P01,WT1000,North,733.57511,11737.20176,2025-06-30
P02,BB250,Central,224.53989,4715.33769,2025-06-30
P02,BB250,South,298.9823,5680.6637,2025-06-30
P02,BB250,West,312.27106,6869.96332,2025-06-30
P02,BB500,Central,328.63057,9201.65596,2025-06-30
P02,BB500,South,410.93042,10684.190920000001,2025-06-30
P02,BB500,West,416.16827,12068.87983,2025-06-30
P02,BB1000,Central,400.55738,16823.40996,2025-06-30
P02,BB1000,South,519.24712,20769.8848,2025-06-30
P02,BB1000,West,550.28098,23662.08214,2025-06-30
P02,LM250,Central,189.70033,3794.0066,2025-06-30
P02,LM250,South,230.45207,4148.1372599999995,2025-06-30
P02,LM250,West,230.08137,4831.70877,2025-06-30
P02,LM500,Central,250.32167,6508.363420000001,2025-06-30
P02,LM500,South,333.61373,8006.729519999999,2025-06-30
P02,LM500,West,335.18281,9049.935870000001,2025-06-30
P02,OR500,Central,214.97158,5804.23266,2025-06-30
P02,OR500,South,277.99064,6949.766,2025-06-30
P02,OR500,West,295.50249,8274.069720000001,2025-06-30
P02,OR1000,Central,301.91313,12378.43833,2025-06-30
P02,OR1000,South,421.87102,16452.96978,2025-06-30
P02,OR1000,West,438.99573,18437.820659999998,2025-06-30
P02,EN250,Central,142.13378,5401.08364,2025-06-30
P02,EN250,South,187.52309,6750.8312399999995,2025-06-30
P02,EN250,West,181.95602,7096.28478,2025-06-30
P02,EN500,Central,104.08059,6036.67422,2025-06-30
P02,EN500,South,129.22064,7236.35584,2025-06-30
P02,EN500,West,136.32577,8043.22043,2025-06-30
P02,WT1000,Central,691.10705,11748.81985,2025-06-30
P02,WT1000,South,842.88351,12643.25265,2025-06-30
P02,WT1000,West,828.45882,14912.258759999999,2025-06-30
P03,BB250,East,233.77545,4909.28445,2025-06-30
P03,BB500,East,352.21173,9861.92844,2025-06-30
P03,BB1000,East,421.42977,17700.05034,2025-06-30
P03,LM250,East,182.43763,3648.7526000000003,2025-06-30
P03,LM500,East,266.37911,6925.856860000001,2025-06-30
P03,OR500,East,214.38891,5788.50057,2025-06-30
P03,OR1000,East,301.10614,12345.35174,2025-06-30
P03,EN250,East,144.66767,5497.371459999999,2025-06-30
P03,EN500,East,100.33328,5819.33024,2025-06-30
P03,WT1000,East,697.20301,11852.451169999998,2025-06-30
P01,BB250,North,274.76878,5495.375599999999,2025-07-07
P01,BB500,North,402.87356,10877.58612,2025-07-07
P01,BB1000,North,523.66634,21470.31994,2025-07-07
P01,LM250,North,225.21916,4279.16404,2025-07-07
P01,LM500,North,319.22777,7980.6942500000005,2025-07-07
P01,OR500,North,261.63356,6802.47256,2025-07-07
P01,OR1000,North,363.09101,14523.6404,2025-07-07
P01,EN250,North,164.30804,6079.3974800000005,2025-07-07
P01,EN500,North,122.71567,6994.79319,2025-07-07
P01,WT1000,North,868.79972,13900.79552,2025-07-07
