week_start,plant_id,raw_material_id,raw_material_requirement
2025-06-30,P01,RM001,8577.569214
2025-06-30,P01,RM002,1717.8636497999998
2025-06-30,P01,RM003,77.0572892
2025-06-30,P01,RM004,56684.67624
2025-06-30,P01,RM005,56684.67624
2025-06-30,P01,RM006,56684.67624
2025-06-30,P01,RM007,3126.36467
2025-06-30,P01,RM008,331.5835338
2025-06-30,P02,RM001,28117.209498
2025-06-30,P02,RM002,5628.1683834
2025-06-30,P02,RM003,252.3417076
2025-06-30,P02,RM004,185477.67504
2025-06-30,P02,RM005,185477.67504
2025-06-30,P02,RM006,185477.67504
2025-06-30,P02,RM007,10225.89383
2025-06-30,P02,RM008,1082.5428796
2025-06-30,P03,RM001,7872.875406
2025-06-30,P03,RM002,1576.2510532
2025-06-30,P03,RM003,70.8127265
2025-06-30,P03,RM004,52897.51776
2025-06-30,P03,RM005,52897.51776
2025-06-30,P03,RM006,52897.51776
2025-06-30,P03,RM007,2913.9327
2025-06-30,P03,RM008,308.57043339999996
2025-07-07,P01,RM001,9513.417936
2025-07-07,P01,RM002,1903.9019256
2025-07-07,P01,RM003,85.4471271
2025-07-07,P01,RM004,63564.601800000004
2025-07-07,P01,RM005,63564.601800000004
2025-07-07,P01,RM006,63564.601800000004
2025-07-07,P01,RM007,3526.30361
2025-07-07,P01,RM008,374.4555828
2025-07-07,P02,RM001,30870.857835
2025-07-07,P02,RM002,6178.7280559
2025-07-07,P02,RM003,277.07313045
2025-07-07,P02,RM004,205423.96764
2025-07-07,P02,RM005,205423.96764
2025-07-07,P02,RM006,205423.96764
2025-07-07,P02,RM007,11371.69045
2025-07-07,P02,RM008,1205.5124714
2025-07-07,P03,RM001,8779.487718
2025-07-07,P03,RM002,1757.0670526
2025-07-07,P03,RM003,78.8929947
2025-07-07,P03,RM004,59586.48612
2025-07-07,P03,RM005,59586.48612
2025-07-07,P03,RM006,59586.48612
2025-07-07,P03,RM007,3312.12259
2025-07-07,P03,RM008,351.79210479999995
2025-07-14,P01,RM001,9638.707863
2025-07-14,P01,RM002,1928.9910197
2025-07-14,P01,RM003,86.69065495
2025-07-14,P01,RM004,64416.2274
2025-07-14,P01,RM005,64416.2274
2025-07-14,P01,RM006,64416.2274
2025-07-14,P01,RM007,3547.88559
2025-07-14,P01,RM008,375.8410054
2025-07-14,P02,RM001,31117.688415
2025-07-14,P02,RM002,6227.2134135
2025-07-14,P02,RM003,279.31205075
2025-07-14,P02,RM004,206492.69928
2025-07-14,P02,RM005,206492.69928
2025-07-14,P02,RM006,206492.69928
2025-07-14,P02,RM007,11425.371869999999
2025-07-14,P02,RM008,1211.4338192
