week_start,plant_id,raw_material_id,required_quantity,supplier_id,supplier_name,unit_cost,lead_time_days,supplier_score,purchase_quantity,purchase_cost
2025-07-07,P01,RM001,6500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,6500,4030.0
2025-07-14,P01,RM001,9500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9500,5890.0
2025-07-21,P01,RM001,10000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,10000,6200.0
2025-07-28,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-08-04,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-08-11,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-08-18,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-08-25,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-09-01,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-09-08,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-09-15,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-09-22,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-09-29,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-10-06,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-10-13,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-10-20,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-10-27,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-11-03,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-11-10,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-11-17,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-11-24,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-12-01,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-12-08,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-12-15,P01,RM001,8500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,8500,5270.0
2025-12-22,P01,RM001,9000.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,9000,5580.0
2025-12-29,P01,RM001,5500.0,S001,Bharat Sugar Mills,0.62,7,0.688268398268398,5500,3410.0
2025-07-07,P01,RM002,1900.0,S006,Premium Flavors,4.6,7,0.65,1900,8740.0
2025-07-14,P01,RM002,1900.0,S006,Premium Flavors,4.6,7,0.65,1900,8740.0
2025-07-21,P01,RM002,2000.0,S006,Premium Flavors,4.6,7,0.65,2000,9200.0
2025-07-28,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-08-04,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-08-11,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-08-18,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-08-25,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-09-01,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-09-08,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-09-15,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-09-22,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-09-29,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-10-06,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-10-13,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-10-20,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
2025-10-27,P01,RM002,1700.0,S006,Premium Flavors,4.6,7,0.65,1700,7819.999999999999
2025-11-03,P01,RM002,1800.0,S006,Premium Flavors,4.6,7,0.65,1800,8280.0
