supplier_id,supplier_name,raw_material_id,unit_cost,lead_time_days,moq,supplier_capacity,quality_rate,on_time_rate,cost_score,lead_time_score,quality_score,on_time_score,supplier_score,supplier_rank
S001,Bharat Sugar Mills,RM001,0.62,7,500,100000,0.985,0.96,0.6666666666666663,0.7,0.6818181818181818,0.7142857142857139,0.688268398268398,1.0
S003,Prime Sugar Co,RM001,0.7,4,500,80000,0.992,0.98,0.0,1.0,1.0,1.0,0.65,2.0
S002,National Sweeteners,RM001,0.58,14,2000,150000,0.97,0.91,1.0,0.0,0.0,0.0,0.35,3.0
S006,Premium Flavors,RM002,4.6,7,100,8000,0.998,0.985,0.0,1.0,1.0,1.0,0.65,1.0
S004,FlavorChem India,RM002,4.3,14,100,12000,0.99,0.95,0.5999999999999996,0.5,0.6521739130434783,0.4615384615384606,0.5558193979933107,2.0
S005,Beverage Ingredients Ltd,RM002,4.1,21,250,18000,0.975,0.92,1.0,0.0,0.0,0.0,0.35,3.0
S007,GasTech,RM003,1.65,5,100,5000,0.995,0.97,0.0,1.0,1.0,1.0,0.65,1.0
S008,Industrial Gases India,RM003,1.55,10,250,7000,0.99,0.94,1.0,0.0,0.0,0.0,0.35,2.0
S011,FastBottle,RM004,2.15,6,5000,300000,0.995,0.98,0.0,1.0,1.0,1.0,0.65,1.0
S009,PackBottle India,RM004,2.0,10,5000,500000,0.985,0.95,0.5999999999999996,0.6666666666666667,0.5,0.6249999999999994,0.5995833333333331,2.0
S010,PET Solutions,RM004,1.9,18,10000,700000,0.975,0.9,1.0,0.0,0.0,0.0,0.35,3.0
S014,QuickCaps,RM005,0.36,5,5000,300000,0.997,0.985,0.0,1.0,1.0,1.0,0.65,1.0
S012,CapTech,RM005,0.32,10,5000,500000,0.99,0.96,0.6666666666666663,0.4444444444444444,0.5882352941176471,0.5454545454545445,0.5762329174093876,2.0
S013,Closure Systems,RM005,0.3,14,10000,700000,0.98,0.93,1.0,0.0,0.0,0.0,0.35,3.0
S015,LabelWorks,RM006,0.11,7,10000,500000,0.99,0.97,0.6666666666666667,0.7,0.5555555555555556,0.7692307692307688,0.6767521367521366,1.0
S017,ExpressLabels,RM006,0.13,4,10000,300000,0.998,0.985,0.0,1.0,1.0,1.0,0.65,2.0
S016,PrintPack,RM006,0.1,14,20000,700000,0.98,0.92,1.0,0.0,0.0,0.0,0.35,3.0
S020,QuickCarton,RM007,8.6,4,500,30000,0.995,0.985,0.0,1.0,1.0,1.0,0.65,1.0
S018,CartonWorks,RM007,8.2,7,500,50000,0.985,0.96,0.5000000000000006,0.7,0.5,0.6666666666666662,0.5816666666666667,2.0
S019,PackPro,RM007,7.8,14,1000,70000,0.975,0.91,1.0,0.0,0.0,0.0,0.35,3.0
S023,FastFilm,RM008,2.2,4,100,10000,0.998,0.985,0.0,1.0,1.0,1.0,0.65,1.0
S021,FilmPack,RM008,2.05,7,100,15000,0.99,0.96,0.5000000000000007,0.7,0.6521739130434783,0.6666666666666662,0.6121014492753624,2.0
S022,Flexible Packaging Ltd,RM008,1.9,14,500,20000,0.975,0.91,1.0,0.0,0.0,0.0,0.35,3.0
