sku,raw_material_id,quantity_per_case
BB250,RM001,1.50
BB250,RM002,0.30
BB250,RM003,0.015
BB250,RM004,24
BB250,RM005,24
BB250,RM006,24
BB250,RM007,1
BB250,RM008,0.08
BB500,RM001,3.00
BB500,RM002,0.60
BB500,RM003,0.030
BB500,RM004,24
BB500,RM005,24
BB500,RM006,24
BB500,RM007,1
BB500,RM008,0.10
BB1000,RM001,6.00
BB1000,RM002,1.20
BB1000,RM003,0.050
BB1000,RM004,12
BB1000,RM005,12
BB1000,RM006,12
BB1000,RM007,1
BB1000,RM008,0.12
LM250,RM001,1.50
LM250,RM002,0.28
LM250,RM003,0.015
LM250,RM004,24
LM250,RM005,24
LM250,RM006,24
LM250,RM007,1
LM250,RM008,0.08
LM500,RM001,3.00
LM500,RM002,0.55
LM500,RM003,0.030
LM500,RM004,24
LM500,RM005,24
LM500,RM006,24
LM500,RM007,1
LM500,RM008,0.10
OR500,RM001,3.00
OR500,RM002,0.58
OR500,RM003,0.030
OR500,RM004,24
OR500,RM005,24
OR500,RM006,24
OR500,RM007,1
OR500,RM008,0.10
OR1000,RM001,6.00
OR1000,RM002,1.15
OR1000,RM003,0.050
OR1000,RM004,12
OR1000,RM005,12
OR1000,RM006,12
OR1000,RM007,1
OR1000,RM008,0.12
EN250,RM001,1.20
EN250,RM002,0.35
EN250,RM003,0.010
EN250,RM004,24
EN250,RM005,24
EN250,RM006,24
EN250,RM007,1
EN250,RM008,0.08
EN500,RM001,2.40
EN500,RM002,0.70
EN500,RM003,0.020
EN500,RM004,24
EN500,RM005,24
EN500,RM006,24
EN500,RM007,1
EN500,RM008,0.10
WT1000,RM001,0.00
WT1000,RM002,0.00
WT1000,RM003,0.00
WT1000,RM004,12
WT1000,RM005,12
WT1000,RM006,12
WT1000,RM007,1
WT1000,RM008,0.12
