plant_id,sku,production_rate_cases_per_hour,min_batch_cases
P01,BB250,900,5000
P01,BB500,850,5000
P01,BB1000,700,4000
P01,LM250,900,5000
P01,LM500,800,5000
P01,OR500,850,5000
P01,OR1000,700,4000
P01,EN250,750,4000
P01,EN500,650,3000
P01,WT1000,1000,6000
P02,BB250,950,5000
P02,BB500,900,5000
P02,BB1000,750,4000
P02,LM250,950,5000
P02,LM500,850,5000
P02,OR500,900,5000
P02,OR1000,750,4000
P02,EN250,800,4000
P02,EN500,700,3000
P02,WT1000,1100,6000
P03,BB250,850,5000
P03,BB500,800,5000
P03,BB1000,650,4000
P03,LM250,850,5000
P03,LM500,750,5000
P03,OR500,800,5000
P03,OR1000,650,4000
P03,EN250,700,4000
P03,EN500,600,3000
P03,WT1000,950,6000
