date,sku,product,pack_size,region,units_sold,price,promotion,is_holiday
2023-01-01,BB250,Bharat Cola,250ml,North,464,24.0,0,0
2023-01-01,BB250,Bharat Cola,250ml,South,623,24.0,0,0
2023-01-01,BB250,Bharat Cola,250ml,East,428,24.0,0,0
2023-01-01,BB250,Bharat Cola,250ml,West,576,24.0,0,0
2023-01-01,BB250,Bharat Cola,250ml,Central,426,24.0,0,0
2023-01-01,BB500,Bharat Cola,500ml,North,806,35.0,0,0
2023-01-01,BB500,Bharat Cola,500ml,South,915,35.0,0,0
2023-01-01,BB500,Bharat Cola,500ml,East,649,35.0,0,0
2023-01-01,BB500,Bharat Cola,500ml,West,777,35.0,0,0
2023-01-01,BB500,Bharat Cola,500ml,Central,669,35.0,0,0
2023-01-01,BB1000,Bharat Cola,1L,North,429,55.0,0,0
2023-01-01,BB1000,Bharat Cola,1L,South,498,55.0,0,0
2023-01-01,BB1000,Bharat Cola,1L,East,422,55.0,0,0
2023-01-01,BB1000,Bharat Cola,1L,West,548,55.0,0,0
2023-01-01,BB1000,Bharat Cola,1L,Central,432,55.0,0,0
2023-01-01,LM250,Lemon Blast,250ml,North,386,22.0,0,0
2023-01-01,LM250,Lemon Blast,250ml,South,407,22.0,0,0
2023-01-01,LM250,Lemon Blast,250ml,East,426,22.0,0,0
2023-01-01,LM250,Lemon Blast,250ml,West,424,22.0,0,0
2023-01-01,LM250,Lemon Blast,250ml,Central,386,22.0,0,0
2023-01-01,LM500,Lemon Blast,500ml,North,606,32.0,0,0
2023-01-01,LM500,Lemon Blast,500ml,South,647,32.0,0,0
2023-01-01,LM500,Lemon Blast,500ml,East,558,32.0,0,0
2023-01-01,LM500,Lemon Blast,500ml,West,676,32.0,0,0
2023-01-01,LM500,Lemon Blast,500ml,Central,521,32.0,0,0
2023-01-01,OR500,Orange Rush,500ml,North,513,34.0,0,0
2023-01-01,OR500,Orange Rush,500ml,South,514,34.0,0,0
2023-01-01,OR500,Orange Rush,500ml,East,430,34.0,0,0
2023-01-01,OR500,Orange Rush,500ml,West,638,34.0,0,0
2023-01-01,OR500,Orange Rush,500ml,Central,477,34.0,0,0
2023-01-01,OR1000,Orange Rush,1L,North,333,52.0,0,0
2023-01-01,OR1000,Orange Rush,1L,South,402,52.0,0,0
2023-01-01,OR1000,Orange Rush,1L,East,354,52.0,0,0
2023-01-01,OR1000,Orange Rush,1L,West,473,46.8,1,0
2023-01-01,OR1000,Orange Rush,1L,Central,305,52.0,0,0
2023-01-01,EN250,Energy Max,250ml,North,286,48.0,0,0
2023-01-01,EN250,Energy Max,250ml,South,465,43.2,1,0
2023-01-01,EN250,Energy Max,250ml,East,327,48.0,0,0
2023-01-01,EN250,Energy Max,250ml,West,376,48.0,0,0
2023-01-01,EN250,Energy Max,250ml,Central,281,48.0,0,0
2023-01-01,EN500,Energy Max,500ml,North,215,72.0,0,0
2023-01-01,EN500,Energy Max,500ml,South,304,64.8,1,0
2023-01-01,EN500,Energy Max,500ml,East,229,72.0,0,0
2023-01-01,EN500,Energy Max,500ml,West,265,72.0,0,0
2023-01-01,EN500,Energy Max,500ml,Central,216,72.0,0,0
2023-01-01,WT1000,Bharat Water,1L,North,797,20.0,0,0
2023-01-01,WT1000,Bharat Water,1L,South,878,20.0,0,0
2023-01-01,WT1000,Bharat Water,1L,East,654,20.0,0,0
2023-01-01,WT1000,Bharat Water,1L,West,833,20.0,0,0
2023-01-01,WT1000,Bharat Water,1L,Central,659,20.0,0,0
2023-01-02,BB250,Bharat Cola,250ml,North,509,24.0,0,0
2023-01-02,BB250,Bharat Cola,250ml,South,532,24.0,0,0
2023-01-02,BB250,Bharat Cola,250ml,East,419,24.0,0,0
2023-01-02,BB250,Bharat Cola,250ml,West,500,24.0,0,0
2023-01-02,BB250,Bharat Cola,250ml,Central,335,24.0,0,0
2023-01-02,BB500,Bharat Cola,500ml,North,666,35.0,0,0
2023-01-02,BB500,Bharat Cola,500ml,South,612,35.0,0,0
2023-01-02,BB500,Bharat Cola,500ml,East,585,35.0,0,0
2023-01-02,BB500,Bharat Cola,500ml,West,749,35.0,0,0
2023-01-02,BB500,Bharat Cola,500ml,Central,571,35.0,0,0
2023-01-02,BB1000,Bharat Cola,1L,North,407,55.0,0,0
2023-01-02,BB1000,Bharat Cola,1L,South,625,49.5,1,0
2023-01-02,BB1000,Bharat Cola,1L,East,394,55.0,0,0
2023-01-02,BB1000,Bharat Cola,1L,West,405,55.0,0,0
2023-01-02,BB1000,Bharat Cola,1L,Central,327,55.0,0,0
2023-01-02,LM250,Lemon Blast,250ml,North,302,22.0,0,0
2023-01-02,LM250,Lemon Blast,250ml,South,377,22.0,0,0
